α,p,d
0.09,1.0,0.39906666666666685
0.091,1.0,0.36769999999999986
0.092,0.98,0.37953333333333344
0.092,1.0,0.3333333333333333
0.093,0.98,0.3597666666666666
0.093,1.0,0.3699333333333333
0.094,0.96,0.39863333333333334
0.094,0.98,0.34833333333333333
0.095,0.96,0.36133333333333323
0.095,0.98,0.38053333333333345
0.096,0.94,0.38823333333333326
0.096,0.96,0.34526666666666667
0.096,0.98,0.39780000000000015
0.097,0.94,0.35610000000000025
0.097,0.96,0.37079999999999974
0.098,0.92,0.3806666666666665
0.098,0.94,0.34736666666666655
0.099,0.92,0.33619999999999983
0.099,0.94,0.39223333333333343
0.1,0.9,0.39509999999999995
0.1,0.92,0.3345333333333335
