α,p,l
0.042,0.95,1.222757641278561
0.042,0.96,1.2199997459925473
0.042,0.97,1.2173335275163963
0.042,0.98,1.214768263362812
0.042,0.99,1.2123112520211818
0.042,1.0,1.2099679105719336
0.043,0.89,1.2167387662487286
0.043,0.9,1.2136460293021096
0.043,0.91,1.21059469684339
0.043,0.92,1.207603273714795
0.043,0.93,1.2046880037119512
0.043,0.94,1.2018628287245032
0.043,0.95,1.199139396801575
0.043,0.96,1.196527112846435
0.043,0.97,1.194033225426201
0.043,0.98,1.1916629431795982
0.043,0.99,1.1894195744861042
0.043,1.0,1.1873046843895998
0.044,0.84,1.2101239134274215
0.044,0.85,1.2069238301348315
0.044,0.86,1.2036980075448156
0.044,0.87,1.2004727398028234
0.044,0.88,1.197272357695218
0.044,0.89,1.1941189826955017
0.044,0.9,1.1910323543038637
0.044,0.91,1.1880297258479626
0.044,0.92,1.1851258226988048
0.044,0.93,1.182332855995778
0.044,0.94,1.17966058444551
0.044,0.95,1.177116416527998
0.044,0.96,1.174705545472264
0.044,0.97,1.1724311096113667
0.044,0.98,1.1702943711505114
0.044,0.99,1.1682949069406972
0.044,1.0,1.1664308055044956
0.045,0.79,1.2051541317473773
0.045,0.8,1.2021135041501758
0.045,0.81,1.198950869141704
0.045,0.82,1.1956984042960421
0.045,0.83,1.1923875462850224
0.045,0.84,1.1890484437533089
0.045,0.85,1.1857094978010974
0.045,0.86,1.1823969915829802
0.045,0.87,1.1791348077468335
0.045,0.88,1.17594423007069
0.045,0.89,1.1728438237344183
0.045,0.9,1.1698493871905908
0.045,0.91,1.1669739675605022
0.045,0.92,1.1642279308475072
0.045,0.93,1.1616190779902922
0.045,0.94,1.1591527978256133
0.045,0.95,1.1568322483415978
0.045,0.96,1.1546585581259006
0.045,0.97,1.1526310405959346
0.045,0.98,1.1507474143922904
0.045,0.99,1.1490040241769963
0.045,1.0,1.1473960569664807
0.046,0.75,1.198171066562387
0.046,0.76,1.1954335786362793
0.046,0.77,1.1924925810035891
0.046,0.78,1.1893816455484745
0.046,0.79,1.1861352351214087
0.046,0.8,1.1827878948580426
0.046,0.81,1.17937352578779
0.046,0.82,1.1759247512364703
0.046,0.83,1.1724723823608554
0.046,0.84,1.169044985311247
0.046,0.85,1.1656685491066816
0.046,0.86,1.162366250396258
0.046,0.87,1.1591583089071777
0.046,0.88,1.1560619255543654
0.046,0.89,1.1530912938926223
0.046,0.9,1.150257674795434
0.046,0.91,1.1475695238955874
0.046,0.92,1.1450326613627382
0.046,0.93,1.1426504739575751
0.046,0.94,1.1404241399252963
0.046,0.95,1.1383528681081254
0.046,0.96,1.1364341436068497
0.046,0.97,1.1346639733500006
0.046,0.98,1.133037125988184
0.046,0.99,1.1315473615797946
0.046,1.0,1.1301876475402217
0.047,0.72,1.1894570362542218
0.047,0.73,1.1869746231797804
0.047,0.74,1.1842337847136637
0.047,0.75,1.1812674707285198
0.047,0.76,1.1781109544925634
0.047,0.77,1.1748008329014505
0.047,0.78,1.1713740960184031
