α,p,l
0.2,0.0,6.0
0.2,0.01,5.98231721198
0.2,0.02,5.96525779136
0.2,0.03,5.94880536714
0.2,0.04,5.93294385152
0.2,0.05,5.9176574375
0.2,0.06,5.90293059648
0.2,0.07,5.88874807586
0.2,0.08,5.87509489664
0.2,0.09,5.86195635102
0.2,0.1,5.849318
0.2,0.11,5.83716567098
0.2,0.12,5.82548545536
0.2,0.13,5.81426370614
0.2,0.14,5.80348703552
0.2,0.15,5.7931423125
0.2,0.16,5.78321666048
0.2,0.17,5.773697454860001
0.2,0.18,5.76457232064
0.2,0.19,5.75582913002
0.2,0.2,5.747456
0.2,0.21,5.73944128998
0.2,0.22,5.73177359936
0.2,0.23,5.72444176514
0.2,0.24,5.71743485952
0.2,0.25,5.7107421875
0.2,0.26,5.70435328448
0.2,0.27,5.69825791386
0.2,0.28,5.69244606464
0.2,0.29,5.68690794902
0.2,0.3,5.681634
0.2,0.31,5.67661486898
0.2,0.32,5.67184142336
0.2,0.33,5.66730474414
0.2,0.34,5.66299612352
0.2,0.35,5.6589070625
0.2,0.36,5.65502926848
0.2,0.37,5.65135465286
0.2,0.38,5.64787532864
0.2,0.39,5.64458360802
0.2,0.4,5.641472
0.2,0.41,5.63853320798
0.2,0.42,5.63576012736
0.2,0.43,5.633145843139999
0.2,0.44,5.63068362752
0.2,0.45,5.6283669375
0.2,0.46,5.6261894124800005
0.2,0.47,5.6241448718600004
0.2,0.48,5.62222731264
0.2,0.49,5.62043090702
0.2,0.5,5.61875
0.2,0.51,5.61717910698
0.2,0.52,5.61571291136
0.2,0.53,5.61434626214
0.2,0.54,5.61307417152
0.2,0.55,5.6118918125
0.2,0.56,5.61079451648
0.2,0.57,5.60977777086
0.2,0.58,5.60883721664
0.2,0.59,5.60796864602
0.2,0.6,5.607168
0.2,0.61,5.60643136598
0.2,0.62,5.60575497536
0.2,0.63,5.6051352011399995
0.2,0.64,5.60456855552
0.2,0.65,5.6040516875
0.2,0.66,5.60358138048
0.2,0.67,5.60315454986
0.2,0.68,5.60276824064
0.2,0.69,5.60241962502
0.2,0.7,5.602106
0.2,0.71,5.60182478498
0.2,0.72,5.6015735193600005
0.2,0.73,5.60134986014
0.2,0.74,5.60115157952
0.2,0.75,5.6009765625
0.2,0.76,5.60082280448
0.2,0.77,5.60068840886
0.2,0.78,5.60057158464
0.2,0.79,5.60047064402
0.2,0.8,5.600384
0.2,0.81,5.60031016398
0.2,0.82,5.60024774336
0.2,0.83,5.60019543914
0.2,0.84,5.60015204352
0.2,0.85,5.6001164375000005
0.2,0.86,5.60008758848
0.2,0.87,5.600064547860001
0.2,0.88,5.60004644864
0.2,0.89,5.6000325030199996
0.2,0.9,5.600022
0.2,0.91,5.60001430298
0.2,0.92,5.60000884736
0.2,0.93,5.60000513814
0.2,0.94,5.60000274752
0.2,0.95,5.6000013125
0.2,0.96,5.60000053248
0.2,0.97,5.60000016686
0.2,0.98,5.60000003264
0.2,0.99,5.60000000202
0.2,1.0,5.6
0.21,0.0,6.0
0.21,0.01,5.981433072579
0.21,0.02,5.963520680928
0.21,0.03,5.946245635497
0.21,0.04,5.929591044096
0.21,0.05,5.913540309375
0.21,0.06,5.898077126304
0.21,0.07,5.883185479653
0.21,0.08,5.868849641472
0.21,0.09,5.855054168571
0.21,0.1,5.8417839
0.21,0.11,5.829023954529
0.21,0.12,5.816759728128
0.21,0.13,5.804976891447
0.21,0.14,5.793661387296
0.21,0.15,5.782799428125
0.21,0.16,5.772377493504
0.21,0.17,5.7623823276029995
0.21,0.18,5.752800936672
0.21,0.19,5.743620586521001
0.21,0.2,5.7348288
0.21,0.21,5.726413354479
0.21,0.22,5.718362279328
0.21,0.23,5.710663853397
0.21,0.24,5.703306602496
0.21,0.25,5.696279296875
0.21,0.26,5.6895709487040005
0.21,0.27,5.683170809552999
0.21,0.28,5.677068367872
0.21,0.29,5.6712533464709995
0.21,0.3,5.6657157
0.21,0.31,5.660445612429
0.21,0.32,5.655433494527999
0.21,0.33,5.650669981347
0.21,0.34,5.646145929696
0.21,0.35,5.641852415625
0.21,0.36,5.637780731904
0.21,0.37,5.633922385503
0.21,0.38,5.630269095072
0.21,0.39,5.626812788421
0.21,0.4,5.6235456
0.21,0.41,5.620459868379
0.21,0.42,5.617548133728
0.21,0.43,5.6148031352970005
0.21,0.44,5.612217808896
0.21,0.45,5.6097852843750005
0.21,0.46,5.607498883104
0.21,0.47,5.605352115453
0.21,0.48,5.603338678272
0.21,0.49,5.601452452370999
0.21,0.5,5.5996875
0.21,0.51,5.598038062329
0.21,0.52,5.596498556928
0.21,0.53,5.595063575247
0.21,0.54,5.593727880096
0.21,0.55,5.592486403125
0.21,0.56,5.591334242304
0.21,0.57,5.5902666594029995
0.21,0.58,5.589279077472
0.21,0.59,5.588367078321
0.21,0.6,5.5875264
0.21,0.61,5.586752934279
0.21,0.62,5.586042724128
0.21,0.63,5.585391961197001
0.21,0.64,5.584796983296
0.21,0.65,5.584254271875
0.21,0.66,5.583760449504
0.21,0.67,5.583312277353
0.21,0.68,5.5829066526719995
0.21,0.69,5.5825406062709995
0.21,0.7,5.5822113
0.21,0.71,5.581916024229
0.21,0.72,5.581652195328
0.21,0.73,5.581417353147
0.21,0.74,5.581209158496
