α,p,l
0.2,0.07,4.949610401999999
0.2,0.08,4.943278592
0.2,0.09,4.937149922
0.2,0.1,4.93122
0.2,0.11,4.925484482
0.2,0.12,4.919939072
0.2,0.13,4.914579522
0.2,0.14,4.909401632
0.2,0.15,4.904401249999999
0.2,0.16,4.899574272
0.2,0.17,4.894916642
0.2,0.18,4.890424352
0.2,0.19,4.886093442
0.2,0.2,4.88192
0.2,0.21,4.8779001619999995
0.2,0.22,4.874030112
0.2,0.23,4.870306082
0.2,0.24,4.866724352
0.2,0.25,4.86328125
0.2,0.26,4.859973152
0.2,0.27,4.856796482
0.2,0.28,4.8537477120000005
0.2,0.29,4.850823362
0.2,0.3,4.84802
0.2,0.31,4.845334242
0.2,0.32,4.8427627520000005
0.2,0.33,4.840302242
0.2,0.34,4.837949472
0.2,0.35,4.83570125
0.2,0.36,4.833554432
0.2,0.37,4.831505922
0.2,0.38,4.829552672
0.2,0.39,4.827691682
0.2,0.4,4.82592
0.2,0.41,4.824234722
0.2,0.42,4.822632992
0.2,0.43,4.821112002
0.2,0.44,4.819668992
0.2,0.45,4.81830125
0.2,0.46,4.817006112
0.2,0.47,4.815780962
0.2,0.48,4.814623232
0.2,0.49,4.813530402
0.2,0.5,4.8125
0.2,0.51,4.811529602
0.2,0.52,4.810616832
0.2,0.53,4.809759361999999
0.2,0.54,4.808954912
0.2,0.55,4.80820125
0.2,0.56,4.807496192
0.2,0.57,4.806837602
0.2,0.58,4.806223392
0.2,0.59,4.805651522
0.2,0.6,4.8051200000000005
0.2,0.61,4.804626882
0.2,0.62,4.804170272
0.2,0.63,4.803748322000001
0.2,0.64,4.803359232
0.2,0.65,4.8030012499999994
0.2,0.66,4.802672672
0.2,0.67,4.8023718419999994
0.2,0.68,4.802097152
0.2,0.69,4.801847042
0.2,0.7,4.80162
0.2,0.71,4.801414562
0.2,0.72,4.801229312
0.2,0.73,4.801062882
0.2,0.74,4.800913952
0.2,0.75,4.80078125
0.2,0.76,4.800663552
0.2,0.77,4.800559682
0.2,0.78,4.800468512
0.2,0.79,4.8003889619999995
0.2,0.8,4.80032
0.2,0.81,4.800260642
0.2,0.82,4.8002099519999994
0.2,0.83,4.800167042
0.2,0.84,4.800131072
0.2,0.85,4.80010125
0.2,0.86,4.800076832
0.2,0.87,4.800057122
0.2,0.88,4.800041472
0.2,0.89,4.800029282000001
0.2,0.9,4.80002
0.2,0.91,4.800013122
0.2,0.92,4.800008192
0.2,0.93,4.800004802
0.2,0.94,4.800002592
0.2,0.95,4.80000125
0.2,0.96,4.800000512
0.2,0.97,4.800000162
0.2,0.98,4.800000032
0.2,0.99,4.800000002
0.2,1.0,4.8
0.21,0.07,4.9470909221
0.21,0.08,4.9404425216
0.21,0.09,4.9340074181
0.21,0.1,4.9277809999999995
0.21,0.11,4.9217587061
0.21,0.12,4.9159360256
0.21,0.13,4.9103084981
0.21,0.14,4.9048717136
0.21,0.15,4.8996213125
0.21,0.16,4.8945529856
0.21,0.17,4.8896624741
0.21,0.18,4.8849455696
0.21,0.19,4.8803981141
0.21,0.2,4.876016
0.21,0.21,4.8717951701
0.21,0.22,4.8677316176000005
0.21,0.23,4.8638213861
0.21,0.24,4.8600605696
0.21,0.25,4.8564453125
0.21,0.26,4.8529718096
0.21,0.27,4.8496363061
0.21,0.28,4.846435097600001
0.21,0.29,4.843364530100001
0.21,0.3,4.840421
0.21,0.31,4.8376009541
0.21,0.32,4.8349008896
0.21,0.33,4.8323173541
0.21,0.34,4.8298469456
0.21,0.35,4.8274863125
0.21,0.36,4.8252321536
0.21,0.37,4.8230812181000005
0.21,0.38,4.8210303056
0.21,0.39,4.8190762661
0.21,0.4,4.817216
0.21,0.41,4.8154464581
0.21,0.42,4.813764641600001
0.21,0.43,4.812167602100001
0.21,0.44,4.8106524416
0.21,0.45,4.8092163125
0.21,0.46,4.8078564176
0.21,0.47,4.8065700101
0.21,0.48,4.8053543936
0.21,0.49,4.8042069221000006
0.21,0.5,4.803125
0.21,0.51,4.8021060821
0.21,0.52,4.8011476736
0.21,0.53,4.8002473300999995
0.21,0.54,4.7994026576
0.21,0.55,4.7986113125
0.21,0.56,4.7978710016
0.21,0.57,4.7971794821
0.21,0.58,4.7965345616
0.21,0.59,4.7959340981
0.21,0.6,4.795376
0.21,0.61,4.794858226100001
0.21,0.62,4.7943787856
0.21,0.63,4.7939357381
0.21,0.64,4.7935271936
0.21,0.65,4.7931513125
0.21,0.66,4.7928063056
0.21,0.67,4.792490434099999
0.21,0.68,4.7922020096
0.21,0.69,4.7919393941
0.21,0.7,4.791701
0.21,0.71,4.7914852901
0.21,0.72,4.7912907776
0.21,0.73,4.7911160261
0.21,0.74,4.7909596495999995
0.21,0.75,4.7908203125
0.21,0.76,4.7906967296000005
0.21,0.77,4.7905876661
0.21,0.78,4.790491937600001
0.21,0.79,4.7904084100999995
0.21,0.8,4.790336
0.21,0.81,4.7902736741
0.21,0.82,4.7902204496
0.21,0.83,4.7901753941
0.21,0.84,4.7901376256
0.21,0.85,4.7901063125
0.21,0.86,4.7900806736
0.21,0.87,4.7900599781
0.21,0.88,4.7900435456
0.21,0.89,4.7900307461
0.21,0.9,4.790020999999999
0.21,0.91,4.7900137781000005
0.21,0.92,4.7900086016
0.21,0.93,4.7900050421
0.21,0.94,4.7900027216000005
0.21,0.95,4.7900013125
0.21,0.96,4.7900005376
0.21,0.97,4.7900001701
0.21,0.98,4.7900000336
0.21,0.99,4.7900000021
0.21,1.0,4.79
0.22,0.07,4.9445714422
0.22,0.08,4.9376064512
0.22,0.09,4.9308649142
0.22,0.1,4.924342
0.22,0.11,4.9180329302
0.22,0.12,4.9119329791999995
0.22,0.13,4.9060374742
0.22,0.14,4.9003417952
0.22,0.15,4.894841375
0.22,0.16,4.8895316992
0.22,0.17,4.8844083062
0.22,0.18,4.8794667872
0.22,0.19,4.8747027862
0.22,0.2,4.870112
0.22,0.21,4.8656901781999995
0.22,0.22,4.8614331232
0.22,0.23,4.8573366902
0.22,0.24,4.8533967871999995
0.22,0.25,4.849609375
0.22,0.26,4.8459704672
0.22,0.27,4.8424761302
0.22,0.28,4.8391224832
0.22,0.29,4.8359056981999995
0.22,0.3,4.832822
0.22,0.31,4.8298676662
0.22,0.32,4.8270390272
0.22,0.33,4.8243324662
0.22,0.34,4.8217444192
0.22,0.35,4.819271375
0.22,0.36,4.8169098752
0.22,0.37,4.8146565142
0.22,0.38,4.8125079392
0.22,0.39,4.8104608502
0.22,0.4,4.808512
0.22,0.41,4.8066581942
0.22,0.42,4.8048962912
0.22,0.43,4.8032232022
0.22,0.44,4.8016358912
0.22,0.45,4.800131374999999
0.22,0.46,4.7987067232000005
0.22,0.47,4.7973590582
0.22,0.48,4.7960855551999995
0.22,0.49,4.7948834422
0.22,0.5,4.79375
0.22,0.51,4.7926825621999996
0.22,0.52,4.7916785152
0.22,0.53,4.7907352981999995
0.22,0.54,4.7898504032
0.22,0.55,4.789021375
0.22,0.56,4.7882458111999995
0.22,0.57,4.7875213622
0.22,0.58,4.7868457312
0.22,0.59,4.7862166742
0.22,0.6,4.785632
0.22,0.61,4.7850895702
0.22,0.62,4.7845872992
0.22,0.63,4.7841231542
0.22,0.64,4.7836951552
0.22,0.65,4.783301375
0.22,0.66,4.7829399392
0.22,0.67,4.7826090262
0.22,0.68,4.7823068672
0.22,0.69,4.7820317461999995
0.22,0.7,4.781782
0.22,0.71,4.7815560182
0.22,0.72,4.7813522432
0.22,0.73,4.7811691702
0.22,0.74,4.7810053472
0.22,0.75,4.780859375
0.22,0.76,4.7807299072
0.22,0.77,4.7806156502
0.22,0.78,4.7805153632
0.22,0.79,4.7804278581999995
0.22,0.8,4.780352000000001
0.22,0.81,4.7802867062
0.22,0.82,4.7802309472
0.22,0.83,4.7801837462000005
0.22,0.84,4.780144179200001
0.22,0.85,4.780111375
0.22,0.86,4.7800845152
0.22,0.87,4.7800628342
0.22,0.88,4.7800456192
0.22,0.89,4.7800322102
0.22,0.9,4.780022
0.22,0.91,4.7800144342
0.22,0.92,4.7800090112
0.22,0.93,4.780005282199999
0.22,0.94,4.7800028512
0.22,0.95,4.780001374999999
0.22,0.96,4.7800005632
0.22,0.97,4.7800001782
0.22,0.98,4.7800000352000005
0.22,0.99,4.7800000021999995
0.22,1.0,4.78
0.23,0.07,4.9420519623
0.23,0.08,4.9347703808
0.23,0.09,4.9277224102999995
0.23,0.1,4.920903
0.23,0.11,4.914307154299999
0.23,0.12,4.9079299328
0.23,0.13,4.9017664503
0.23,0.14,4.8958118768
0.23,0.15,4.8900614375
0.23,0.16,4.8845104128
0.23,0.17,4.8791541383000006
0.23,0.18,4.8739880048
0.23,0.19,4.8690074583000005
0.23,0.2,4.864208
0.23,0.21,4.8595851863
0.23,0.22,4.8551346288
0.23,0.23,4.8508519943
0.23,0.24,4.8467330048
0.23,0.25,4.8427734375
0.23,0.26,4.8389691248
0.23,0.27,4.8353159543
0.23,0.28,4.8318098688
0.23,0.29,4.8284468663
0.23,0.3,4.825223
0.23,0.31,4.8221343782999995
0.23,0.32,4.8191771648
0.23,0.33,4.8163475783
0.23,0.34,4.8136418928
0.23,0.35,4.8110564375
0.23,0.36,4.8085875968
0.23,0.37,4.8062318103
0.23,0.38,4.8039855728
0.23,0.39,4.8018454343000005
0.23,0.4,4.7998080000000005
0.23,0.41,4.7978699303
0.23,0.42,4.7960279408
0.23,0.43,4.7942788023
0.23,0.44,4.7926193408
0.23,0.45,4.7910464375
0.23,0.46,4.7895570288
0.23,0.47,4.7881481062999995
0.23,0.48,4.7868167168
0.23,0.49,4.7855599623
0.23,0.5,4.784375
0.23,0.51,4.7832590423
0.23,0.52,4.7822093568
0.23,0.53,4.7812232663
0.23,0.54,4.7802981488
0.23,0.55,4.7794314374999995
0.23,0.56,4.7786206208
0.23,0.57,4.7778632423000005
0.23,0.58,4.7771569008
0.23,0.59,4.7764992503000006
0.23,0.6,4.775888
0.23,0.61,4.7753209143
0.23,0.62,4.7747958128
0.23,0.63,4.7743105703
0.23,0.64,4.773863116799999
0.23,0.65,4.7734514375
0.23,0.66,4.7730735727999996
0.23,0.67,4.7727276183
0.23,0.68,4.7724117247999995
0.23,0.69,4.7721240983
0.23,0.7,4.771863
0.23,0.71,4.7716267463
0.23,0.72,4.7714137088
0.23,0.73,4.7712223143
0.23,0.74,4.7710510448
0.23,0.75,4.7708984375
0.23,0.76,4.7707630848
0.23,0.77,4.7706436343
0.23,0.78,4.7705387888
0.23,0.79,4.7704473062999995
0.23,0.8,4.7703679999999995
0.23,0.81,4.7702997383
0.23,0.82,4.7702414448
0.23,0.83,4.7701920983
0.23,0.84,4.7701507327999995
0.23,0.85,4.7701164375000005
0.23,0.86,4.7700883568000005
0.23,0.87,4.7700656903
0.23,0.88,4.7700476928
0.23,0.89,4.7700336743000005
0.23,0.9,4.770023
0.23,0.91,4.7700150903
0.23,0.92,4.7700094208
0.23,0.93,4.7700055223
0.23,0.94,4.7700029808
0.23,0.95,4.7700014374999995
0.23,0.96,4.7700005888
0.23,0.97,4.7700001863
0.23,0.98,4.7700000368
0.23,0.99,4.7700000023
0.23,1.0,4.77
0.24,0.06,4.9473797504
0.24,0.07,4.9395324824
0.24,0.08,4.9319343104
0.24,0.09,4.9245799064
0.24,0.1,4.917464
0.24,0.11,4.9105813784
0.24,0.12,4.9039268864
0.24,0.13,4.8974954264
0.24,0.14,4.8912819584000005
0.24,0.15,4.8852815
0.24,0.16,4.8794891264
0.24,0.17,4.8738999704
0.24,0.18,4.8685092224
0.24,0.19,4.8633121304
0.24,0.2,4.858304
0.24,0.21,4.8534801943999994
0.24,0.22,4.8488361344
0.24,0.23,4.8443672984
0.24,0.24,4.8400692224
0.24,0.25,4.8359375
0.24,0.26,4.8319677824
0.24,0.27,4.8281557784
0.24,0.28,4.8244972544
0.24,0.29,4.8209880344
0.24,0.3,4.817624
0.24,0.31,4.8144010904000005
0.24,0.32,4.8113153024
0.24,0.33,4.8083626904
0.24,0.34,4.8055393664
0.24,0.35,4.8028414999999995
0.24,0.36,4.8002653184
0.24,0.37,4.7978071064000005
0.24,0.38,4.7954632064
0.24,0.39,4.7932300184
0.24,0.4,4.791104
0.24,0.41,4.7890816663999995
0.24,0.42,4.7871595904
0.24,0.43,4.7853344024
0.24,0.44,4.7836027904
0.24,0.45,4.7819614999999995
0.24,0.46,4.7804073343999995
0.24,0.47,4.778937154399999
0.24,0.48,4.7775478784
0.24,0.49,4.7762364824
0.24,0.5,4.775
0.24,0.51,4.7738355224
0.24,0.52,4.7727401984
0.24,0.53,4.7717112344
0.24,0.54,4.7707458944
0.24,0.55,4.7698415
0.24,0.56,4.7689954304
0.24,0.57,4.7682051223999995
0.24,0.58,4.7674680704
0.24,0.59,4.7667818264
0.24,0.6,4.766144
0.24,0.61,4.7655522584
0.24,0.62,4.7650043264
0.24,0.63,4.7644979864
0.24,0.64,4.7640310784
0.24,0.65,4.7636015
0.24,0.66,4.763207206400001
0.24,0.67,4.7628462104
0.24,0.68,4.7625165824
0.24,0.69,4.7622164504
0.24,0.7,4.761944
0.24,0.71,4.7616974744
0.24,0.72,4.7614751744
0.24,0.73,4.7612754584
0.24,0.74,4.7610967423999995
0.24,0.75,4.7609375
0.24,0.76,4.7607962623999995
0.24,0.77,4.7606716184
0.24,0.78,4.7605622144
0.24,0.79,4.7604667543999994
0.24,0.8,4.760384
0.24,0.81,4.760312770400001
0.24,0.82,4.7602519424
0.24,0.83,4.7602004504
0.24,0.84,4.7601572864
0.24,0.85,4.7601215
0.24,0.86,4.7600921984
0.24,0.87,4.760068546399999
0.24,0.88,4.7600497664
0.24,0.89,4.7600351384
0.24,0.9,4.760024
0.24,0.91,4.760015746400001
0.24,0.92,4.7600098304
0.24,0.93,4.7600057624000005
0.24,0.94,4.7600031104
0.24,0.95,4.7600014999999996
0.24,0.96,4.7600006144
0.24,0.97,4.7600001944
0.24,0.98,4.7600000384
0.24,0.99,4.7600000024
0.24,1.0,4.76
0.25,0.06,4.94518724
0.25,0.07,4.9370130025000005
0.25,0.08,4.92909824
0.25,0.09,4.9214374025000005
0.25,0.1,4.9140250000000005
0.25,0.11,4.9068556025
0.25,0.12,4.89992384
0.25,0.13,4.8932244025
0.25,0.14,4.88675204
0.25,0.15,4.8805015625
0.25,0.16,4.874467839999999
0.25,0.17,4.8686458025
0.25,0.18,4.86303044
0.25,0.19,4.8576168025
0.25,0.2,4.8524
0.25,0.21,4.8473752025
0.25,0.22,4.84253764
0.25,0.23,4.837882602500001
0.25,0.24,4.83340544
0.25,0.25,4.8291015625
0.25,0.26,4.82496644
0.25,0.27,4.8209956025
0.25,0.28,4.81718464
0.25,0.29,4.8135292025
0.25,0.3,4.8100249999999996
0.25,0.31,4.8066678025
0.25,0.32,4.80345344
0.25,0.33,4.8003778025
0.25,0.34,4.79743684
0.25,0.35,4.7946265624999995
0.25,0.36,4.79194304
0.25,0.37,4.7893824025
0.25,0.38,4.78694084
0.25,0.39,4.7846146025
0.25,0.4,4.7824
0.25,0.41,4.7802934025
0.25,0.42,4.77829124
0.25,0.43,4.7763900024999995
0.25,0.44,4.77458624
0.25,0.45,4.7728765625000005
0.25,0.46,4.77125764
0.25,0.47,4.7697262025
0.25,0.48,4.7682790399999995
0.25,0.49,4.7669130025
0.25,0.5,4.765625
0.25,0.51,4.7644120025
0.25,0.52,4.76327104
0.25,0.53,4.7621992025
0.25,0.54,4.76119364
0.25,0.55,4.760251562500001
0.25,0.56,4.75937024
0.25,0.57,4.7585470025
0.25,0.58,4.75777924
0.25,0.59,4.7570644025
0.25,0.6,4.7564
0.25,0.61,4.7557836025
0.25,0.62,4.75521284
0.25,0.63,4.7546854025
0.25,0.64,4.75419904
0.25,0.65,4.7537515625
0.25,0.66,4.75334084
0.25,0.67,4.7529648025
0.25,0.68,4.75262144
0.25,0.69,4.7523088025
0.25,0.7,4.752025
0.25,0.71,4.7517682025
0.25,0.72,4.751536639999999
0.25,0.73,4.7513286025
0.25,0.74,4.75114244
0.25,0.75,4.7509765625
0.25,0.76,4.75082944
0.25,0.77,4.7506996025
0.25,0.78,4.75058564
0.25,0.79,4.750486202499999
0.25,0.8,4.7504
0.25,0.81,4.7503258025
0.25,0.82,4.75026244
0.25,0.83,4.7502088024999995
0.25,0.84,4.75016384
0.25,0.85,4.7501265625
0.25,0.86,4.75009604
0.25,0.87,4.7500714025
0.25,0.88,4.75005184
0.25,0.89,4.7500366025
0.25,0.9,4.750025
0.25,0.91,4.7500164025
0.25,0.92,4.75001024
0.25,0.93,4.7500060025
0.25,0.94,4.75000324
0.25,0.95,4.7500015625
0.25,0.96,4.75000064
0.25,0.97,4.7500002025
0.25,0.98,4.75000004
0.25,0.99,4.7500000025
0.25,1.0,4.75
0.26,0.05,4.951771625
0.26,0.06,4.9429947296000005
0.26,0.07,4.9344935226
0.26,0.08,4.9262621696
0.26,0.09,4.9182948986
0.26,0.1,4.910586
0.26,0.11,4.9031298266
0.26,0.12,4.8959207936
0.26,0.13,4.8889533786
0.26,0.14,4.8822221216
0.26,0.15,4.875721625
0.26,0.16,4.8694465536
0.26,0.17,4.8633916346
0.26,0.18,4.8575516576
0.26,0.19,4.8519214746
0.26,0.2,4.846496
0.26,0.21,4.8412702106
0.26,0.22,4.8362391456000005
0.26,0.23,4.8313979065999995
0.26,0.24,4.8267416575999995
0.26,0.25,4.822265625
0.26,0.26,4.8179650976
0.26,0.27,4.8138354266
0.26,0.28,4.8098720256
0.26,0.29,4.8060703706000005
0.26,0.3,4.8024260000000005
0.26,0.31,4.7989345146
0.26,0.32,4.7955915776
0.26,0.33,4.7923929146
0.26,0.34,4.7893343135999995
0.26,0.35,4.7864116249999995
0.26,0.36,4.7836207616
0.26,0.37,4.7809576986
0.26,0.38,4.7784184736
0.26,0.39,4.7759991866
0.26,0.4,4.773696
0.26,0.41,4.7715051386
0.26,0.42,4.7694228895999995
0.26,0.43,4.7674456026000005
0.26,0.44,4.7655696895999995
0.26,0.45,4.763791625
0.26,0.46,4.7621079456
0.26,0.47,4.7605152506
0.26,0.48,4.7590102016
0.26,0.49,4.7575895226
