α,p,d
0.05,0.16,36.265100000000004
0.05,0.17,35.8685
0.05,0.18,35.5567
0.05,0.19,35.2823
0.05,0.2,34.9052
0.05,0.21,34.6863
0.05,0.22,34.3721
0.05,0.23,34.0856
0.05,0.24,33.896
0.05,0.25,33.652699999999996
0.05,0.26,33.4552
0.05,0.27,33.304500000000004
0.05,0.28,33.0589
0.05,0.29,32.825900000000004
0.05,0.3,32.6834
0.051,0.15,36.371700000000004
0.051,0.16,36.0725
0.051,0.17,35.7189
0.051,0.18,35.3751
0.051,0.19,35.0338
0.051,0.2,34.8178
0.051,0.21,34.4563
0.051,0.22,34.1345
0.051,0.23,33.8661
0.051,0.24,33.6366
0.051,0.25,33.4478
0.051,0.26,33.2054
0.051,0.27,32.9673
0.051,0.28,32.7613
0.051,0.29,32.6251
0.051,0.3,32.3373
0.052,0.15,36.2185
0.052,0.16,35.9036
0.052,0.17,35.544200000000004
0.052,0.18,35.2124
0.052,0.19,34.8494
0.052,0.2,34.4863
0.052,0.21,34.2294
0.052,0.22,33.97
0.052,0.23,33.7756
0.052,0.24,33.4587
0.052,0.25,33.175200000000004
0.052,0.26,32.974000000000004
0.052,0.27,32.7305
0.052,0.28,32.5184
0.052,0.29,32.3428
0.052,0.3,32.1974
0.053,0.15,36.1192
0.053,0.16,35.7051
0.053,0.17,35.3746
0.053,0.18,35.0554
0.053,0.19,34.6256
0.053,0.2,34.368
0.053,0.21,33.988
0.053,0.22,33.7175
0.053,0.23,33.4949
0.053,0.24,33.2652
0.053,0.25,32.9294
0.053,0.26,32.6703
0.053,0.27,32.5595
0.053,0.28,32.3804
0.053,0.29,32.0975
0.053,0.3,31.8652
0.054,0.14,36.3176
0.054,0.15,35.9143
0.054,0.16,35.528800000000004
0.054,0.17,35.199799999999996
0.054,0.18,34.7792
0.054,0.19,34.413399999999996
0.054,0.2,34.0939
0.054,0.21,33.8417
0.054,0.22,33.5507
0.054,0.23,33.2926
0.054,0.24,33.0431
0.054,0.25,32.7395
0.054,0.26,32.5646
0.054,0.27,32.3212
0.054,0.28,32.037800000000004
0.054,0.29,31.8795
0.054,0.3,31.5975
0.055,0.14,36.1719
0.055,0.15,35.8096
0.055,0.16,35.3998
0.055,0.17,34.9577
0.055,0.18,34.6119
0.055,0.19,34.2625
0.055,0.2,33.917500000000004
0.055,0.21,33.6032
0.055,0.22,33.321799999999996
0.055,0.23,33.0908
0.055,0.24,32.8102
0.055,0.25,32.5319
0.055,0.26,32.3501
0.055,0.27,32.0583
0.055,0.28,31.872500000000002
0.055,0.29,31.6278
0.055,0.3,31.393700000000003
0.056,0.14,36.0116
0.056,0.15,35.6494
0.056,0.16,35.165800000000004
0.056,0.17,34.8016
0.056,0.18,34.4276
0.056,0.19,34.0691
0.056,0.2,33.7495
0.056,0.21,33.469300000000004
0.056,0.22,33.1148
0.056,0.23,32.8189
0.056,0.24,32.5113
0.056,0.25,32.281
0.056,0.26,32.0981
0.056,0.27,31.793100000000003
0.056,0.28,31.6232
0.056,0.29,31.359299999999998
0.056,0.3,31.2348
0.057,0.13,36.3231
0.057,0.14,35.8136
0.057,0.15,35.3965
0.057,0.16,35.0174
0.057,0.17,34.6263
0.057,0.18,34.22
0.057,0.19,33.8517
0.057,0.2,33.5246
0.057,0.21,33.308
0.057,0.22,32.9169
0.057,0.23,32.6358
0.057,0.24,32.3546
0.057,0.25,32.089
0.057,0.26,31.813499999999998
0.057,0.27,31.6229
0.057,0.28,31.3634
0.057,0.29,31.1066
0.057,0.3,31.0116
0.058,0.13,36.1833
0.058,0.14,35.7046
0.058,0.15,35.2682
0.058,0.16,34.8729
0.058,0.17,34.431
0.058,0.18,34.0616
0.058,0.19,33.6894
0.058,0.2,33.3135
0.058,0.21,33.0127
0.058,0.22,32.701
0.058,0.23,32.4374
0.058,0.24,32.092
0.058,0.25,31.8281
0.058,0.26,31.6012
0.058,0.27,31.3687
0.058,0.28,31.0639
0.058,0.29,30.858800000000002
0.058,0.3,30.645400000000002
0.059,0.13,35.9832
0.059,0.14,35.5344
0.059,0.15,35.0947
0.059,0.16,34.593
0.059,0.17,34.3093
0.059,0.18,33.8624
0.059,0.19,33.4863
0.059,0.2,33.1419
0.059,0.21,32.7894
0.059,0.22,32.4642
0.059,0.23,32.239000000000004
0.059,0.24,31.9381
0.059,0.25,31.6223
0.059,0.26,31.3789
0.059,0.27,31.0691
0.059,0.28,30.912
0.059,0.29,30.682499999999997
0.059,0.3,30.4107
0.06,0.12,36.4264
0.06,0.13,35.8973
0.06,0.14,35.4118
0.06,0.15,34.8776
0.06,0.16,34.4904
0.06,0.17,34.1006
0.06,0.18,33.7018
0.06,0.19,33.2726
0.06,0.2,32.9318
0.06,0.21,32.5513
0.06,0.22,32.2791
0.06,0.23,32.022
0.06,0.24,31.698900000000002
0.06,0.25,31.4085
0.06,0.26,31.1344
0.06,0.27,30.9374
0.06,0.28,30.5932
0.06,0.29,31.137500000000003
0.06,0.3,32.3407
0.061,0.12,36.245599999999996
0.061,0.13,35.7394
0.061,0.14,35.2084
0.061,0.15,34.7981
0.061,0.16,34.2737
0.061,0.17,33.8474
0.061,0.18,33.5043
0.061,0.19,33.1141
0.061,0.2,32.7909
0.061,0.21,32.3691
0.061,0.22,32.068799999999996
0.061,0.23,31.7345
0.061,0.24,31.442500000000003
0.061,0.25,31.1512
0.061,0.26,30.877299999999998
0.061,0.27,30.813900000000004
0.061,0.28,31.956500000000005
0.061,0.29,32.97280000000001
0.061,0.3,34.179500000000004
0.062,0.12,36.1073
0.062,0.13,35.5877
0.062,0.14,35.090199999999996
0.062,0.15,34.6178
0.062,0.16,34.1822
0.062,0.17,33.6689
0.062,0.18,33.301
0.062,0.19,32.9084
0.062,0.2,32.578
0.062,0.21,32.2149
0.062,0.22,31.851300000000002
0.062,0.23,31.523
0.062,0.24,31.2225
0.062,0.25,30.909100000000002
0.062,0.26,31.450199999999995
0.062,0.27,32.8828
0.062,0.28,33.897999999999996
0.062,0.29,35.0479
0.062,0.3,36.0479
0.063,0.11,36.4641
0.063,0.12,35.966300000000004
0.063,0.13,35.3999
0.063,0.14,34.9041
0.063,0.15,34.4266
0.063,0.16,33.888400000000004
0.063,0.17,33.4584
0.063,0.18,33.1064
0.063,0.19,32.7507
0.063,0.2,32.3899
0.063,0.21,31.9396
0.063,0.22,31.752499999999998
0.063,0.23,31.319200000000002
0.063,0.24,31.0345
0.063,0.25,31.948099999999997
0.063,0.26,33.283199999999994
0.063,0.27,34.516400000000004
0.063,0.28,35.793400000000005
0.064,0.11,36.3838
0.064,0.12,35.7495
0.064,0.13,35.2558
0.064,0.14,34.7216
0.064,0.15,34.1972
0.064,0.16,33.8093
0.064,0.17,33.375299999999996
0.064,0.18,32.8975
0.064,0.19,32.5312
0.064,0.2,32.1447
0.064,0.21,31.7595
0.064,0.22,31.4508
0.064,0.23,31.0394
0.064,0.24,32.030699999999996
0.064,0.25,33.493399999999994
0.064,0.26,35.1108
0.064,0.27,36.338499999999996
0.065,0.11,36.2151
0.065,0.12,35.6894
0.065,0.13,35.0216
0.065,0.14,34.596000000000004
0.065,0.15,34.1073
0.065,0.16,33.6053
0.065,0.17,33.2046
0.065,0.18,32.7695
0.065,0.19,32.294
0.065,0.2,31.889200000000002
0.065,0.21,31.616300000000003
0.065,0.22,31.2404
0.065,0.23,32.2645
0.065,0.24,33.7838
0.065,0.25,35.3784
0.066,0.11,36.0682
0.066,0.12,35.5394
0.066,0.13,34.9442
0.066,0.14,34.3872
0.066,0.15,33.8927
0.066,0.16,33.4414
0.066,0.17,32.980199999999996
0.066,0.18,32.5566
0.066,0.19,32.0681
0.066,0.2,31.738799999999998
0.066,0.21,31.3844
0.066,0.22,32.176100000000005
0.066,0.23,34.1593
0.066,0.24,35.776300000000006
0.067,0.11,35.9833
0.067,0.12,35.3104
0.067,0.13,34.8348
0.067,0.14,34.2328
0.067,0.15,33.7659
0.067,0.16,33.2662
0.067,0.17,32.8223
0.067,0.18,32.3547
0.067,0.19,32.0403
0.067,0.2,31.4795
0.067,0.21,32.098699999999994
0.067,0.22,33.9855
0.067,0.23,35.6657
0.068,0.1,36.4861
0.068,0.11,35.8406
0.068,0.12,35.2334
0.068,0.13,34.6232
0.068,0.14,34.1002
0.068,0.15,33.5401
0.068,0.16,33.0811
0.068,0.17,32.5941
0.068,0.18,32.2315
0.068,0.19,31.742800000000003
0.068,0.2,31.704099999999997
0.068,0.21,33.5844
0.068,0.22,35.589299999999994
0.069,0.1,36.3395
0.069,0.11,35.7064
0.069,0.12,35.063
0.069,0.13,34.495
0.069,0.14,33.9393
0.069,0.15,33.4148
0.069,0.16,32.932900000000004
0.069,0.17,32.434799999999996
0.069,0.18,31.9919
0.069,0.19,31.5323
0.069,0.2,33.220600000000005
0.069,0.21,35.4529
0.07,0.1,36.2622
0.07,0.11,35.582499999999996
0.07,0.12,34.9624
0.07,0.13,34.3787
0.07,0.14,33.7667
0.07,0.15,33.2809
0.07,0.16,32.7227
0.07,0.17,32.247299999999996
0.07,0.18,31.7579
0.07,0.19,32.6721
0.07,0.2,35.022499999999994
0.071,0.1,36.122
0.071,0.11,35.4456
0.071,0.12,34.8387
0.071,0.13,34.1757
0.071,0.14,33.6226
0.071,0.15,33.0944
0.071,0.16,32.5138
0.071,0.17,32.0785
0.071,0.18,31.5991
0.071,0.19,34.139300000000006
0.072,0.1,35.9813
0.072,0.11,35.3351
0.072,0.12,34.6869
0.072,0.13,34.1083
0.072,0.14,33.4481
0.072,0.15,32.921
0.072,0.16,32.4062
0.072,0.17,31.8985
0.072,0.18,33.12179999999999
0.072,0.19,35.943200000000004
0.073,0.1,35.8196
0.073,0.11,35.1584
0.073,0.12,34.5554
0.073,0.13,33.906800000000004
0.073,0.14,33.359700000000004
0.073,0.15,32.725899999999996
0.073,0.16,32.2826
