α,p,d
0.05,0.35,31.9065
0.05,0.4,31.3107
0.05,0.45,30.8752
0.05,0.5,30.4538
0.05,0.55,30.1859
0.05,0.6,29.9296
0.05,0.65,29.715600000000002
0.05,0.7,29.6742
0.05,0.75,29.4576
0.05,0.8,29.381500000000003
0.05,0.85,29.2503
0.05,0.9,29.182000000000002
0.05,0.95,29.0995
0.05,1.0,29.469399999999993
0.051,0.35,31.6036
0.051,0.4,31.0217
0.051,0.45,30.5427
0.051,0.5,30.220599999999997
0.051,0.55,29.8947
0.051,0.6,29.593600000000002
0.051,0.65,29.3609
0.051,0.7,29.2791
0.051,0.75,29.836600000000004
0.051,0.8,30.463099999999997
0.051,0.85,30.532700000000006
0.051,0.9,30.837400000000002
0.051,0.95,31.2847
0.051,1.0,31.325999999999993
0.052,0.35,31.4115
0.052,0.4,30.770699999999998
0.052,0.45,30.272199999999998
0.052,0.5,29.927
0.052,0.55,29.5516
0.052,0.6,29.853399999999993
0.052,0.65,30.826099999999997
0.052,0.7,31.358999999999995
0.053,0.3,31.8209
0.053,0.35,31.057499999999997
0.053,0.4,30.5076
0.053,0.45,29.9708
0.053,0.5,29.5745
0.053,0.55,30.913399999999996
0.054,0.3,31.6916
0.054,0.35,30.8662
0.054,0.4,30.1503
0.054,0.45,29.701700000000002
0.054,0.5,31.674099999999996
0.055,0.3,31.4176
0.055,0.35,30.532899999999998
0.055,0.4,29.8903
0.055,0.45,31.779799999999994
0.056,0.3,31.154
0.056,0.35,30.285800000000002
0.056,0.4,31.6383
0.057,0.3,30.916800000000002
0.057,0.35,30.468599999999995
0.058,0.25,31.750500000000002
0.058,0.3,30.7003
0.059,0.25,31.639699999999998
0.059,0.3,30.4737
0.06,0.25,31.464100000000002
0.061,0.25,31.1699
0.062,0.25,30.9712
0.063,0.25,31.8857
0.065,0.2,31.9464
0.066,0.2,31.6879
0.067,0.2,31.587600000000002
0.068,0.2,31.7354
