α,p,d
0.084,0.08,15.786559090909092
0.085,0.08,15.534545454545453
0.086,0.08,15.369404545454547
0.087,0.08,15.333938636363628
0.088,0.08,15.361518181818186
0.089,0.08,15.397465909090908
0.09,0.08,15.541881818181816
0.091,0.08,15.72097045454546
0.092,0.08,15.947729545454546
0.094,0.06,15.662809090909093
0.095,0.06,15.348536363636361
0.096,0.06,15.082711363636365
0.097,0.06,14.807131818181817
0.098,0.06,14.59225454545455
0.099,0.06,14.445525000000004
0.1,0.06,14.447527272727273
0.101,0.06,14.384331818181817
0.102,0.06,14.388440909090905
0.103,0.06,14.460829545454546
0.104,0.06,14.524938636363634
0.105,0.06,14.730559090909093
0.106,0.06,15.14050909090909
0.107,0.06,15.610100000000006
0.118,0.04,15.906484090909089
0.119,0.04,15.49793409090909
0.12,0.04,15.13329090909091
0.121,0.04,14.829338636363643
0.122,0.04,14.44980454545455
0.123,0.04,14.121227272727275
0.124,0.04,13.900122727272725
0.125,0.04,13.705068181818179
0.126,0.04,13.607665909090906
0.127,0.04,13.506854545454546
0.128,0.04,13.435143181818178
0.129,0.04,13.325431818181817
0.13,0.04,13.302536363636362
0.131,0.04,13.31477272727273
0.132,0.04,13.541004545454546
0.133,0.04,13.873386363636365
0.134,0.04,14.194586363636363
0.135,0.04,14.691127272727272
0.136,0.04,15.142418181818181
0.137,0.04,15.700363636363637
