,nCFR,rCFR,mrCFR,EmrCFR
33,0.03157474020783373,0.3305439330543933,0.32822645686018975,0.04306911984582252
40,0.062173613163858506,0.4656826568265683,0.7595956630391785,
47,0.07944518504411859,0.45977222630418807,0.7827309253691288,0.7827309253691288
54,0.09858910604834047,0.4502839033408161,0.9360340521057844,0.56674306361225
61,0.11747580157289776,0.4413822495294243,0.13866939148208116,0.3071127845217984
68,0.12631835145221484,0.4125099352103856,0.1682245895531407,0.4008330346001795
75,0.12965265127270936,0.3619946045328797,0.14931357746200571,0.11763643676272975
82,0.13398783411340695,0.32326093799181616,0.22083991376197337,0.22083991376197337
89,0.13577330587330338,0.2841017653167186,0.9493871921282879,0.32069877148948606
96,0.13762070859525005,0.2559233844918199,0.20289845228856346,0.20289845228856346
103,0.13973220743526688,0.22087173990710968,0.13747485407580542,0.13747485407580542
