,nCFR,rCFR,mrCFR,EmrCFR
47,0.029227557411273485,0.7777777777777778,0.05971143212519282,0.4367375417570464
54,0.020716510903426792,0.8866666666666667,0.3772350282050052,
61,0.018758723364659904,0.7433628318584071,0.19617142541197224,0.02780016530453678
68,0.028521929521552206,0.43313695424098136,0.6815535570720703,0.8013011920137466
75,0.04077105157131346,0.4265953522685356,0.10974017422024132,0.5824508893356269
82,0.049800137904023406,0.38785004806151874,0.05438851560736059,0.2828409620481726
89,0.055533931791531585,0.3748108737218389,0.0808673667440888,0.11717265868746854
96,0.0576299575046342,0.3348136163083579,0.10038381146219635,0.056575375238257744
103,0.05900610287707062,0.272427210519254,0.0646170473750889,0.0646170473750889
110,0.06014130534002739,0.26341865962135724,0.07795055156602483,0.12546765040911104
