Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,0.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,0.0,0.0,0.0
13 days,3.0,0.0,0.0
14 days,0.0,0.0,0.0
15 days,1.0,0.0,0.0
16 days,2.0,0.0,0.0
17 days,0.0,0.0,0.0
18 days,0.0,0.0,0.0
19 days,4.0,0.0,0.0
20 days,5.0,0.0,0.0
21 days,5.0,0.0,1.0
22 days,1.0,0.0,0.0
23 days,0.0,0.0,0.0
24 days,0.0,0.0,0.0
25 days,2.0,0.0,0.0
26 days,0.0,0.0,0.0
27 days,16.0,1.0,0.0
28 days,0.0,0.0,0.0
29 days,34.0,0.0,0.0
30 days,10.0,1.0,1.0
31 days,10.0,2.0,0.0
32 days,16.0,0.0,0.0
33 days,0.0,0.0,0.0
34 days,10.0,0.0,0.0
35 days,50.0,0.0,0.0
36 days,4.0,0.0,3.0
37 days,63.0,0.0,0.0
38 days,36.0,2.0,5.0
39 days,8.0,0.0,0.0
40 days,18.0,1.0,0.0
41 days,50.0,0.0,5.0
42 days,18.0,4.0,3.0
43 days,56.0,3.0,0.0
44 days,21.0,0.0,11.0
45 days,40.0,1.0,3.0
46 days,37.0,0.0,0.0
47 days,34.0,3.0,0.0
48 days,52.0,0.0,0.0
49 days,58.0,3.0,0.0
50 days,49.0,2.0,8.0
51 days,70.0,2.0,3.0
52 days,56.0,5.0,11.0
53 days,66.0,0.0,45.0
54 days,27.0,0.0,13.0
55 days,63.0,3.0,19.0
56 days,30.0,3.0,4.0
57 days,66.0,0.0,15.0
58 days,84.0,4.0,16.0
59 days,103.0,2.0,13.0
60 days,72.0,1.0,9.0
61 days,112.0,4.0,0.0
62 days,68.0,3.0,19.0
63 days,172.0,7.0,13.0
64 days,125.0,1.0,8.0
65 days,111.0,2.0,24.0
66 days,232.0,4.0,8.0
67 days,164.0,4.0,50.0
68 days,134.0,4.0,21.0
69 days,235.0,13.0,14.0
70 days,190.0,5.0,52.0
71 days,330.0,5.0,24.0
72 days,168.0,9.0,37.0
73 days,171.0,2.0,10.0
74 days,215.0,3.0,4.0
75 days,255.0,6.0,30.0
76 days,369.0,5.0,56.0
77 days,285.0,2.0,0.0
78 days,276.0,5.0,52.0
79 days,263.0,5.0,38.0
