Dates,Infected,Dead,Recovered
1 days,4,0,0
2 days,7,0,0
3 days,8,0,0
4 days,9,0,0
5 days,6,0,0
6 days,6,0,0
7 days,6,0,0
8 days,6,0,0
9 days,4,0,0
10 days,5,0,0
11 days,6,0,1
12 days,8,0,1
13 days,11,1,1
14 days,16,1,3
15 days,19,1,5
16 days,23,1,5
17 days,21,1,7
18 days,17,2,5
19 days,13,1,5
20 days,12,1,4
21 days,15,2,7
22 days,16,2,11
23 days,18,2,11
24 days,20,1,12
25 days,25,2,11
26 days,28,1,9
27 days,24,1,9
28 days,17,1,11
29 days,13,1,17
30 days,11,1,16
31 days,11,0,17
32 days,11,0,14
33 days,12,0,17
34 days,17,0,17
35 days,14,0,17
36 days,16,1,11
37 days,17,1,15
38 days,21,1,12
39 days,18,0,17
40 days,15,0,12
41 days,15,0,15
42 days,20,0,14
43 days,24,0,14
44 days,26,0,19
45 days,23,0,16
46 days,26,0,16
47 days,21,0,8
48 days,19,0,9
49 days,13,1,9
50 days,13,1,15
51 days,12,1,16
52 days,11,0,19
53 days,8,0,21
54 days,7,0,20
55 days,7,0,18
56 days,10,0,17
57 days,12,0,21
58 days,13,0,21
59 days,10,0,17
60 days,8,0,11
61 days,9,0,15
62 days,7,0,11
63 days,7,0,18
64 days,4,0,13
