Dates,Infected,Dead,Recovered
1 days,0,0,0
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,1,0,0
6 days,1,0,0
7 days,4,0,0
8 days,3,0,0
9 days,4,0,0
10 days,2,0,0
11 days,2,0,0
12 days,1,0,0
13 days,1,0,0
14 days,0,0,0
15 days,1,0,3
16 days,2,1,3
17 days,6,1,4
18 days,8,1,1
19 days,9,1,1
20 days,8,0,0
21 days,9,1,0
22 days,11,2,4
23 days,10,2,4
24 days,22,3,4
25 days,38,3,0
26 days,47,2,0
27 days,42,1,0
28 days,34,1,2
29 days,46,3,2
30 days,48,2,2
31 days,51,3,1
32 days,48,2,1
33 days,58,3,3
34 days,87,5,5
35 days,112,9,10
36 days,134,17,8
37 days,152,20,5
38 days,135,24,10
39 days,111,22,10
40 days,84,23,9
41 days,72,21,8
42 days,84,18,49
43 days,81,21,86
44 days,98,21,97
45 days,84,23,74
46 days,83,19,81
47 days,74,19,65
48 days,82,17,77
49 days,82,14,39
50 days,95,12,61
51 days,116,13,52
52 days,125,10,62
53 days,120,9,88
54 days,100,7,84
55 days,92,8,86
56 days,94,9,52
57 days,96,8,85
58 days,105,8,85
59 days,115,6,92
60 days,125,6,51
61 days,130,6,50
62 days,131,6,57
63 days,155,6,65
64 days,163,6,74
65 days,168,5,57
66 days,149,5,57
67 days,156,4,52
68 days,165,4,59
69 days,181,4,65
70 days,174,4,87
71 days,178,6,108
72 days,177,6,133
73 days,187,6,116
74 days,180,6,118
75 days,174,6,125
76 days,170,7,151
77 days,177,7,127
