Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,0.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,0.0,0.0,1.0
13 days,0.0,0.0,0.0
14 days,1.0,0.0,0.0
15 days,37.0,0.0,0.0
16 days,0.0,0.0,0.0
17 days,14.0,0.0,0.0
18 days,22.0,0.0,0.0
19 days,13.0,0.0,0.0
20 days,25.0,1.0,0.0
21 days,20.0,0.0,0.0
22 days,31.0,0.0,0.0
23 days,24.0,0.0,0.0
24 days,36.0,2.0,0.0
25 days,43.0,0.0,0.0
26 days,41.0,0.0,0.0
27 days,26.0,3.0,0.0
28 days,36.0,2.0,9.0
29 days,6.0,4.0,0.0
30 days,14.0,2.0,0.0
31 days,38.0,1.0,0.0
32 days,11.0,1.0,6.0
33 days,27.0,1.0,5.0
34 days,35.0,1.0,5.0
35 days,24.0,3.0,5.0
36 days,20.0,1.0,8.0
37 days,19.0,1.0,13.0
38 days,19.0,2.0,6.0
39 days,18.0,1.0,13.0
40 days,0.0,0.0,0.0
41 days,37.0,3.0,57.0
42 days,8.0,0.0,0.0
43 days,13.0,2.0,0.0
44 days,14.0,2.0,41.0
45 days,0.0,0.0,0.0
46 days,23.0,2.0,22.0
47 days,8.0,0.0,14.0
48 days,9.0,1.0,30.0
49 days,4.0,1.0,13.0
50 days,0.0,0.0,34.0
51 days,6.0,0.0,27.0
52 days,0.0,0.0,24.0
53 days,8.0,3.0,11.0
54 days,7.0,0.0,0.0
55 days,0.0,0.0,0.0
56 days,5.0,0.0,41.0
57 days,0.0,1.0,13.0
58 days,0.0,1.0,25.0
59 days,2.0,0.0,45.0
60 days,0.0,1.0,0.0
61 days,2.0,1.0,4.0
62 days,1.0,1.0,21.0
63 days,2.0,0.0,6.0
64 days,1.0,1.0,15.0
65 days,0.0,0.0,7.0
66 days,1.0,1.0,5.0
67 days,0.0,0.0,11.0
68 days,2.0,1.0,8.0
69 days,1.0,0.0,5.0
70 days,0.0,0.0,0.0
71 days,3.0,0.0,18.0
72 days,2.0,1.0,8.0
