Dates,Infected,Dead,Recovered
1 days,0,0,0
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,0,0,0
10 days,0,0,0
11 days,0,0,0
12 days,0,0,0
13 days,0,0,0
14 days,13,0,0
15 days,13,0,0
16 days,17,0,0
17 days,12,0,0
18 days,16,0,0
19 days,20,0,0
20 days,19,0,0
21 days,25,0,0
22 days,25,0,0
23 days,30,1,0
24 days,34,1,0
25 days,40,1,0
26 days,37,1,0
27 days,34,2,3
28 days,23,3,3
29 days,19,3,3
30 days,19,2,0
31 days,21,1,2
32 days,25,1,4
33 days,24,1,5
34 days,29,2,5
35 days,26,2,6
36 days,21,2,9
37 days,19,1,9
38 days,19,1,11
39 days,12,1,6
40 days,18,1,23
41 days,15,1,19
42 days,19,2,19
43 days,12,1,14
44 days,9,1,14
45 days,12,1,21
46 days,10,1,12
47 days,13,1,22
48 days,7,1,19
49 days,4,1,26
50 days,3,0,25
51 days,2,0,28
52 days,5,1,21
53 days,5,1,12
54 days,5,1,4
55 days,4,0,14
56 days,2,0,18
57 days,2,1,26
58 days,1,1,28
59 days,1,1,23
60 days,1,1,16
61 days,1,1,8
62 days,2,1,10
63 days,1,1,14
64 days,1,0,9
65 days,1,1,9
66 days,0,0,8
67 days,1,1,8
68 days,1,0,8
69 days,1,0,4
70 days,1,0,8
71 days,2,0,9
