Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,1.0,0.0,0.0
4 days,6.0,0.0,0.0
5 days,4.0,1.0,0.0
6 days,0.0,0.0,0.0
7 days,5.0,0.0,0.0
8 days,2.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,12.0,1.0,0.0
11 days,3.0,0.0,1.0
12 days,11.0,0.0,0.0
13 days,11.0,0.0,0.0
14 days,12.0,0.0,2.0
15 days,11.0,0.0,0.0
16 days,18.0,1.0,0.0
17 days,31.0,0.0,0.0
18 days,30.0,1.0,0.0
19 days,108.0,0.0,0.0
20 days,35.0,0.0,0.0
21 days,86.0,2.0,49.0
22 days,0.0,2.0,0.0
23 days,115.0,1.0,11.0
24 days,87.0,4.0,9.0
25 days,101.0,5.0,0.0
26 days,55.0,1.0,0.0
27 days,75.0,4.0,156.0
28 days,234.0,4.0,12.0
29 days,0.0,1.0,8.0
30 days,79.0,8.0,8.0
31 days,132.0,3.0,10.0
32 days,186.0,4.0,13.0
33 days,0.0,1.0,1.0
34 days,103.0,4.0,45.0
35 days,74.0,8.0,13.0
36 days,87.0,7.0,20.0
37 days,80.0,9.0,7.0
38 days,180.0,10.0,10.0
39 days,0.0,1.0,65.0
40 days,167.0,7.0,28.0
41 days,66.0,7.0,47.0
42 days,69.0,5.0,44.0
43 days,166.0,9.0,37.0
44 days,128.0,4.0,35.0
45 days,98.0,8.0,35.0
46 days,89.0,6.0,19.0
47 days,81.0,3.0,24.0
48 days,102.0,4.0,28.0
49 days,90.0,11.0,103.0
50 days,113.0,5.0,32.0
51 days,291.0,13.0,47.0
52 days,172.0,11.0,57.0
53 days,173.0,9.0,54.0
54 days,112.0,7.0,77.0
55 days,111.0,5.0,33.0
56 days,124.0,10.0,22.0
57 days,158.0,7.0,30.0
58 days,143.0,4.0,64.0
59 days,104.0,7.0,36.0
60 days,149.0,12.0,28.0
61 days,102.0,9.0,34.0
62 days,104.0,14.0,88.0
63 days,133.0,4.0,30.0
64 days,188.0,9.0,52.0
65 days,163.0,9.0,77.0
66 days,240.0,11.0,58.0
67 days,165.0,7.0,69.0
68 days,258.0,5.0,29.0
69 days,244.0,9.0,80.0
70 days,285.0,5.0,25.0
71 days,316.0,10.0,404.0
