Dates,Infected,Dead,Recovered
1 days,0,0,0
2 days,0,0,0
3 days,2,0,0
4 days,4,0,0
5 days,3,0,0
6 days,3,0,0
7 days,2,0,0
8 days,2,0,0
9 days,5,0,0
10 days,5,0,0
11 days,9,0,0
12 days,8,0,0
13 days,11,0,1
14 days,11,0,1
15 days,14,0,1
16 days,20,0,0
17 days,26,1,0
18 days,56,0,0
19 days,58,0,0
20 days,76,1,16
21 days,40,1,16
22 days,67,2,20
23 days,67,2,7
24 days,101,3,7
25 days,81,3,3
26 days,77,3,52
27 days,121,3,56
28 days,103,3,59
29 days,104,4,9
30 days,70,4,9
31 days,132,5,10
32 days,106,3,8
33 days,96,3,20
34 days,59,4,20
35 days,88,6,26
36 days,80,8,13
37 days,116,9,12
38 days,87,7,27
39 days,116,6,34
40 days,78,5,47
41 days,101,6,40
42 days,100,7,43
43 days,121,6,39
44 days,131,7,36
45 days,105,6,30
46 days,89,6,26
47 days,91,4,24
48 days,91,6,52
49 days,102,7,54
50 days,165,10,61
51 days,192,10,45
52 days,212,11,53
53 days,152,9,63
54 days,132,7,55
55 days,116,7,44
56 days,131,7,28
57 days,142,7,39
58 days,135,6,43
59 days,132,8,43
60 days,118,9,33
61 days,118,12,50
62 days,113,9,51
63 days,142,9,57
64 days,161,7,53
65 days,197,10,62
66 days,189,9,68
67 days,221,8,52
68 days,222,7,59
69 days,262,6,45
70 days,282,8,170
