Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,0.0,0.0,0.0
11 days,3.0,0.0,0.0
12 days,4.0,0.0,0.0
13 days,10.0,0.0,0.0
14 days,8.0,0.0,0.0
15 days,26.0,0.0,0.0
16 days,26.0,0.0,1.0
17 days,6.0,0.0,0.0
18 days,31.0,0.0,0.0
19 days,21.0,0.0,0.0
20 days,24.0,0.0,0.0
21 days,34.0,0.0,1.0
22 days,41.0,0.0,0.0
23 days,14.0,0.0,12.0
24 days,16.0,0.0,2.0
25 days,25.0,1.0,2.0
26 days,39.0,0.0,10.0
27 days,78.0,0.0,2.0
28 days,17.0,2.0,0.0
29 days,58.0,0.0,0.0
30 days,50.0,0.0,0.0
31 days,39.0,1.0,1.0
32 days,92.0,3.0,2.0
33 days,73.0,0.0,10.0
34 days,34.0,0.0,0.0
35 days,52.0,0.0,14.0
36 days,11.0,1.0,5.0
37 days,20.0,0.0,25.0
38 days,28.0,1.0,27.0
39 days,40.0,1.0,24.0
40 days,16.0,2.0,11.0
41 days,30.0,1.0,24.0
42 days,46.0,0.0,24.0
43 days,26.0,1.0,14.0
44 days,28.0,2.0,54.0
45 days,44.0,1.0,32.0
46 days,48.0,1.0,61.0
47 days,42.0,1.0,44.0
48 days,47.0,1.0,121.0
49 days,43.0,0.0,22.0
50 days,48.0,2.0,35.0
51 days,62.0,2.0,29.0
52 days,72.0,0.0,24.0
53 days,50.0,0.0,26.0
54 days,73.0,3.0,69.0
55 days,81.0,1.0,75.0
56 days,69.0,0.0,30.0
57 days,62.0,1.0,15.0
58 days,59.0,1.0,18.0
59 days,65.0,0.0,34.0
60 days,134.0,2.0,29.0
61 days,82.0,1.0,48.0
62 days,125.0,0.0,33.0
63 days,113.0,2.0,25.0
64 days,121.0,4.0,36.0
65 days,112.0,1.0,40.0
66 days,163.0,0.0,24.0
67 days,102.0,2.0,50.0
68 days,145.0,1.0,33.0
69 days,146.0,1.0,49.0
70 days,138.0,1.0,58.0
71 days,79.0,1.0,34.0
72 days,146.0,1.0,71.0
73 days,180.0,1.0,70.0
