Dates,Infected,Dead,Recovered
0 days,4.0,0.0,0.0
1 days,1.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,1.0,0.0,0.0
4 days,3.0,0.0,2.0
5 days,0.0,0.0,0.0
6 days,3.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,1.0,0.0,0.0
10 days,0.0,0.0,0.0
11 days,1.0,0.0,0.0
12 days,1.0,0.0,0.0
13 days,0.0,0.0,0.0
14 days,0.0,0.0,0.0
15 days,0.0,0.0,0.0
16 days,0.0,0.0,0.0
17 days,0.0,0.0,0.0
18 days,0.0,0.0,6.0
19 days,0.0,0.0,0.0
20 days,0.0,0.0,0.0
21 days,0.0,0.0,0.0
22 days,0.0,0.0,2.0
23 days,0.0,0.0,0.0
24 days,0.0,0.0,0.0
25 days,0.0,0.0,0.0
26 days,0.0,0.0,1.0
27 days,0.0,0.0,0.0
28 days,0.0,0.0,0.0
29 days,0.0,0.0,0.0
30 days,0.0,0.0,0.0
31 days,0.0,0.0,0.0
32 days,0.0,0.0,0.0
33 days,0.0,0.0,0.0
34 days,10.0,0.0,0.0
35 days,2.0,1.0,0.0
36 days,3.0,0.0,0.0
37 days,9.0,0.0,0.0
38 days,13.0,1.0,0.0
39 days,3.0,0.0,10.0
40 days,5.0,0.0,0.0
41 days,3.0,0.0,0.0
42 days,13.0,1.0,0.0
43 days,15.0,0.0,0.0
44 days,16.0,0.0,0.0
45 days,21.0,0.0,0.0
46 days,0.0,0.0,0.0
47 days,72.0,0.0,2.0
48 days,50.0,0.0,0.0
49 days,47.0,0.0,0.0
50 days,80.0,0.0,0.0
51 days,75.0,2.0,0.0
52 days,116.0,1.0,0.0
53 days,113.0,0.0,3.0
54 days,110.0,1.0,0.0
55 days,280.0,0.0,0.0
56 days,478.0,0.0,62.0
57 days,133.0,0.0,0.0
58 days,362.0,1.0,27.0
59 days,320.0,0.0,4.0
60 days,446.0,5.0,53.0
61 days,333.0,0.0,22.0
62 days,497.0,1.0,50.0
63 days,344.0,2.0,0.0
64 days,377.0,1.0,13.0
65 days,198.0,1.0,101.0
66 days,303.0,2.0,64.0
67 days,254.0,4.0,98.0
68 days,214.0,4.0,129.0
69 days,220.0,2.0,52.0
70 days,137.0,5.0,56.0
71 days,110.0,5.0,323.0
72 days,98.0,5.0,0.0
73 days,115.0,5.0,0.0
74 days,98.0,1.0,392.0
75 days,107.0,3.0,321.0
76 days,88.0,3.0,13.0
77 days,12.0,3.0,0.0
78 days,36.0,1.0,0.0
79 days,64.0,1.0,380.0
80 days,25.0,1.0,0.0
81 days,22.0,0.0,169.0
82 days,60.0,3.0,1453.0
83 days,46.0,1.0,316.0
84 days,42.0,0.0,0.0
85 days,13.0,0.0,167.0
86 days,22.0,0.0,404.0
87 days,7.0,0.0,237.0
88 days,10.0,8.0,115.0
89 days,15.0,4.0,89.0
90 days,17.0,1.0,240.0
91 days,20.0,3.0,165.0
92 days,7.0,0.0,47.0
93 days,23.0,6.0,77.0
94 days,8.0,2.0,50.0
95 days,14.0,2.0,27.0
96 days,12.0,0.0,33.0
97 days,21.0,1.0,39.0
98 days,23.0,1.0,35.0
99 days,25.0,1.0,38.0
100 days,28.0,1.0,88.0
101 days,19.0,0.0,56.0
102 days,19.0,0.0,47.0
103 days,5.0,0.0,44.0
104 days,21.0,0.0,19.0
105 days,9.0,0.0,26.0
106 days,22.0,0.0,46.0
107 days,10.0,1.0,57.0
108 days,9.0,0.0,27.0
