Dates,Infected,Dead,Recovered
1 days,2,0,0
2 days,1,0,0
3 days,1,0,1
4 days,1,0,1
5 days,2,0,1
6 days,1,0,0
7 days,1,0,0
8 days,0,0,0
9 days,0,0,0
10 days,1,0,0
11 days,1,0,0
12 days,1,0,0
13 days,0,0,0
14 days,0,0,0
15 days,0,0,0
16 days,0,0,0
17 days,0,0,2
18 days,0,0,2
19 days,0,0,2
20 days,0,0,0
21 days,0,0,1
22 days,0,0,1
23 days,0,0,1
24 days,0,0,0
25 days,0,0,0
26 days,0,0,0
27 days,0,0,0
28 days,0,0,0
29 days,0,0,0
30 days,0,0,0
31 days,0,0,0
32 days,0,0,0
33 days,3,0,0
34 days,4,0,0
35 days,5,0,0
36 days,5,0,0
37 days,8,0,0
38 days,8,0,3
39 days,7,0,3
40 days,4,0,3
41 days,7,0,0
42 days,10,0,0
43 days,15,0,0
44 days,17,0,0
45 days,12,0,0
46 days,31,0,1
47 days,41,0,1
48 days,56,0,1
49 days,59,0,0
50 days,67,1,0
51 days,90,1,0
52 days,101,1,1
53 days,113,1,1
54 days,168,0,1
55 days,289,0,21
56 days,297,0,21
57 days,324,0,30
58 days,272,0,10
59 days,376,2,28
60 days,366,2,26
61 days,425,2,42
62 days,391,1,24
63 days,406,1,21
64 days,306,1,38
65 days,293,1,59
66 days,252,2,88
67 days,257,3,97
68 days,229,3,93
69 days,190,4,79
70 days,156,4,144
71 days,115,5,126
72 days,108,5,108
73 days,104,4,131
74 days,107,3,238
75 days,98,2,242
76 days,69,3,111
77 days,45,2,4
78 days,37,2,127
79 days,42,1,127
80 days,37,1,183
81 days,36,1,541
82 days,43,1,646
83 days,49,1,590
84 days,34,0,161
85 days,26,0,190
86 days,14,0,269
87 days,13,3,252
88 days,11,4,147
89 days,14,4,148
90 days,17,3,165
91 days,15,1,151
92 days,17,3,96
93 days,13,3,58
94 days,15,3,51
95 days,11,1,37
96 days,16,1,33
97 days,19,1,36
98 days,23,1,37
99 days,25,1,54
100 days,24,1,61
101 days,22,0,64
102 days,14,0,49
103 days,15,0,37
104 days,12,0,30
105 days,17,0,30
106 days,14,0,43
107 days,14,0,43
