Dates,Infected,Dead,Recovered
0 days,2.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,1.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,6.0,0.0,0.0
5 days,5.0,0.0,0.0
6 days,4.0,0.0,0.0
7 days,3.0,0.0,0.0
8 days,8.0,0.0,0.0
9 days,12.0,0.0,0.0
10 days,14.0,0.0,0.0
11 days,24.0,0.0,0.0
12 days,25.0,0.0,0.0
13 days,27.0,0.0,1.0
14 days,51.0,0.0,0.0
15 days,64.0,0.0,0.0
16 days,56.0,1.0,0.0
17 days,202.0,0.0,0.0
18 days,151.0,0.0,0.0
19 days,205.0,0.0,0.0
20 days,158.0,2.0,0.0
21 days,314.0,0.0,0.0
22 days,314.0,1.0,8.0
23 days,367.0,2.0,0.0
24 days,375.0,0.0,0.0
25 days,426.0,2.0,0.0
26 days,768.0,8.0,0.0
27 days,892.0,5.0,0.0
28 days,809.0,7.0,0.0
29 days,305.0,2.0,0.0
30 days,1321.0,19.0,103.0
31 days,748.0,9.0,113.0
32 days,614.0,10.0,0.0
33 days,517.0,18.0,254.0
34 days,830.0,22.0,157.0
35 days,562.0,20.0,459.0
36 days,531.0,18.0,341.0
37 days,418.0,12.0,313.0
38 days,395.0,10.0,273.0
39 days,257.0,18.0,485.0
40 days,270.0,18.0,491.0
41 days,246.0,16.0,465.0
42 days,342.0,23.0,583.0
43 days,303.0,30.0,466.0
44 days,302.0,22.0,728.0
45 days,311.0,24.0,824.0
46 days,251.0,18.0,540.0
47 days,139.0,13.0,383.0
48 days,96.0,18.0,356.0
49 days,185.0,16.0,290.0
50 days,110.0,9.0,465.0
51 days,140.0,17.0,888.0
52 days,119.0,21.0,718.0
53 days,76.0,12.0,510.0
54 days,78.0,9.0,287.0
55 days,46.0,18.0,130.0
56 days,78.0,21.0,340.0
57 days,52.0,19.0,357.0
