Dates,Infected,Dead,Recovered
1 days,1,0,0
2 days,0,0,0
3 days,2,0,0
4 days,4,0,0
5 days,5,0,0
6 days,4,0,0
7 days,5,0,0
8 days,8,0,0
9 days,11,0,0
10 days,17,0,0
11 days,21,0,0
12 days,25,0,0
13 days,34,0,0
14 days,47,0,0
15 days,57,0,0
16 days,107,0,0
17 days,136,0,0
18 days,186,0,0
19 days,171,1,0
20 days,226,1,0
21 days,262,1,3
22 days,332,1,3
23 days,352,1,3
24 days,389,1,0
25 days,523,3,0
26 days,695,5,0
27 days,823,7,0
28 days,669,5,0
29 days,812,9,34
30 days,791,10,72
31 days,894,13,72
32 days,626,12,122
33 days,654,17,137
34 days,636,20,290
35 days,641,20,319
36 days,504,17,371
37 days,448,13,309
38 days,357,13,357
39 days,307,15,416
40 days,258,17,480
41 days,286,19,513
42 days,297,23,505
43 days,316,25,592
44 days,305,25,673
45 days,288,21,697
46 days,234,18,582
47 days,162,16,426
48 days,140,16,343
49 days,130,14,370
50 days,145,14,548
51 days,123,16,690
52 days,112,17,705
53 days,91,14,505
54 days,67,13,309
55 days,67,16,252
56 days,59,19,276
57 days,69,17,354
58 days,66,13,300
59 days,74,9,258
60 days,74,7,196
61 days,68,6,163
62 days,70,11,159
63 days,59,13,166
64 days,59,12,182
65 days,58,7,177
66 days,52,5,134
67 days,48,5,107
68 days,30,4,69
69 days,31,3,94
70 days,29,3,137
71 days,44,3,127
72 days,41,3,125
73 days,50,2,96
74 days,40,3,98
75 days,36,2,75
76 days,43,3,73
77 days,42,2,104
