Dates,Infected,Dead,Recovered
0 days,3.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,3.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,3.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,2.0,0.0,0.0
10 days,0.0,0.0,3.0
11 days,0.0,0.0,0.0
12 days,4.0,1.0,0.0
13 days,0.0,0.0,0.0
14 days,8.0,0.0,3.0
15 days,5.0,0.0,0.0
16 days,0.0,0.0,0.0
17 days,0.0,0.0,0.0
18 days,16.0,0.0,0.0
19 days,0.0,0.0,0.0
20 days,9.0,0.0,4.0
21 days,12.0,0.0,0.0
22 days,7.0,0.0,0.0
23 days,15.0,0.0,0.0
24 days,6.0,1.0,0.0
25 days,29.0,1.0,5.0
26 days,43.0,0.0,0.0
27 days,17.0,1.0,0.0
28 days,27.0,0.0,0.0
29 days,64.0,0.0,11.0
30 days,25.0,1.0,0.0
31 days,61.0,0.0,0.0
32 days,41.0,0.0,0.0
33 days,43.0,0.0,6.0
34 days,78.0,0.0,0.0
35 days,63.0,2.0,0.0
36 days,57.0,0.0,12.0
37 days,76.0,1.0,0.0
38 days,105.0,0.0,19.0
39 days,104.0,1.0,38.0
40 days,65.0,1.0,58.0
41 days,67.0,1.0,41.0
42 days,40.0,0.0,50.0
43 days,50.0,1.0,39.0
44 days,49.0,1.0,62.0
45 days,56.0,0.0,53.0
46 days,30.0,2.0,56.0
47 days,57.0,0.0,68.0
48 days,33.0,3.0,62.0
49 days,25.0,1.0,122.0
50 days,38.0,0.0,79.0
51 days,44.0,1.0,74.0
52 days,38.0,0.0,42.0
53 days,30.0,0.0,41.0
54 days,44.0,1.0,65.0
55 days,25.0,0.0,67.0
56 days,28.0,0.0,59.0
57 days,33.0,1.0,23.0
58 days,39.0,0.0,59.0
59 days,49.0,1.0,46.0
60 days,38.0,1.0,58.0
61 days,50.0,1.0,40.0
62 days,40.0,0.0,46.0
63 days,38.0,0.0,30.0
64 days,52.0,1.0,39.0
65 days,76.0,0.0,28.0
66 days,67.0,2.0,28.0
67 days,77.0,0.0,15.0
68 days,75.0,0.0,25.0
69 days,143.0,3.0,44.0
70 days,97.0,1.0,30.0
71 days,70.0,0.0,30.0
72 days,104.0,1.0,0.0
73 days,65.0,2.0,109.0
