Dates,Infected,Dead,Recovered
1 days,1,0,0
2 days,0,0,0
3 days,1,0,0
4 days,1,0,0
5 days,2,0,0
6 days,1,0,0
7 days,1,0,0
8 days,1,0,0
9 days,1,0,1
10 days,1,0,1
11 days,1,0,1
12 days,1,0,0
13 days,4,0,1
14 days,4,0,1
15 days,4,0,1
16 days,2,0,0
17 days,5,0,0
18 days,5,0,0
19 days,8,0,1
20 days,7,0,1
21 days,9,0,1
22 days,11,0,0
23 days,9,0,0
24 days,17,1,2
25 days,26,1,2
26 days,30,1,2
27 days,29,0,0
28 days,36,0,4
29 days,39,0,4
30 days,50,0,4
31 days,42,0,0
32 days,48,0,2
33 days,54,0,2
34 days,61,1,2
35 days,66,1,4
36 days,65,1,4
37 days,79,0,10
38 days,95,1,19
39 days,91,1,38
40 days,79,1,46
41 days,57,1,50
42 days,52,1,43
43 days,46,1,50
44 days,52,1,51
45 days,45,1,57
46 days,48,1,59
47 days,40,2,62
48 days,38,1,84
49 days,32,1,88
50 days,36,1,92
51 days,40,0,65
52 days,37,0,52
53 days,37,0,49
54 days,33,0,58
55 days,32,0,64
56 days,29,0,50
57 days,33,0,47
58 days,40,1,43
59 days,42,1,54
60 days,46,1,48
61 days,43,1,48
62 days,43,0,39
63 days,43,0,38
64 days,55,0,32
65 days,65,1,32
66 days,73,1,24
67 days,73,1,23
68 days,98,1,28
69 days,105,1,33
70 days,103,1,35
71 days,90,1,20
72 days,80,1,46
