Dates,Infected,Dead,Recovered
2 days,0,0,0
3 days,1,0,0
4 days,1,0,0
5 days,1,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,0,0,0
10 days,2,0,0
11 days,2,0,0
12 days,2,0,0
13 days,1,0,0
14 days,1,0,0
15 days,1,0,0
16 days,3,0,0
17 days,3,0,0
18 days,3,0,0
19 days,2,1,0
20 days,1,1,0
21 days,2,1,1
22 days,2,1,2
23 days,4,1,2
24 days,4,1,0
25 days,3,1,0
26 days,2,0,0
27 days,2,0,0
28 days,2,0,0
29 days,1,0,0
30 days,1,0,0
31 days,2,0,0
32 days,2,0,0
33 days,2,0,1
34 days,1,0,1
35 days,2,0,2
36 days,3,0,1
37 days,3,0,1
38 days,4,1,1
39 days,3,1,1
40 days,4,1,1
41 days,3,0,3
42 days,2,0,2
43 days,1,0,3
44 days,0,0,0
45 days,0,0,1
46 days,0,0,0
47 days,1,0,0
48 days,1,0,0
49 days,1,0,0
50 days,2,0,1
