Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,22.0,0.0,0.0
2 days,10.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,3.0,0.0,0.0
5 days,5.0,0.0,0.0
6 days,6.0,0.0,0.0
7 days,2.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,3.0,0.0,0.0
10 days,3.0,0.0,0.0
11 days,5.0,0.0,4.0
12 days,25.0,0.0,0.0
13 days,0.0,0.0,0.0
14 days,10.0,0.0,10.0
15 days,15.0,0.0,8.0
16 days,85.0,0.0,13.0
17 days,0.0,0.0,0.0
18 days,0.0,0.0,9.0
19 days,15.0,0.0,0.0
20 days,4.0,0.0,16.0
21 days,0.0,1.0,17.0
22 days,14.0,0.0,4.0
23 days,28.0,0.0,7.0
24 days,22.0,0.0,12.0
25 days,7.0,0.0,0.0
26 days,20.0,0.0,25.0
27 days,29.0,1.0,24.0
28 days,43.0,0.0,0.0
29 days,15.0,1.0,28.0
30 days,27.0,1.0,0.0
31 days,39.0,0.0,27.0
32 days,8.0,0.0,23.0
33 days,10.0,0.0,38.0
34 days,23.0,0.0,7.0
35 days,16.0,0.0,7.0
36 days,52.0,0.0,16.0
37 days,2.0,0.0,42.0
38 days,74.0,0.0,44.0
39 days,29.0,0.0,1.0
40 days,16.0,0.0,41.0
41 days,12.0,0.0,8.0
42 days,56.0,0.0,27.0
43 days,55.0,1.0,0.0
44 days,12.0,0.0,19.0
45 days,64.0,0.0,42.0
46 days,38.0,1.0,20.0
47 days,115.0,0.0,16.0
48 days,96.0,0.0,3.0
49 days,225.0,0.0,33.0
50 days,167.0,1.0,54.0
51 days,143.0,0.0,18.0
52 days,29.0,0.0,40.0
53 days,40.0,0.0,22.0
54 days,33.0,0.0,30.0
55 days,108.0,0.0,4.0
56 days,26.0,0.0,10.0
57 days,66.0,0.0,15.0
58 days,54.0,0.0,242.0
59 days,190.0,1.0,56.0
60 days,301.0,0.0,31.0
61 days,70.0,0.0,47.0
62 days,59.0,0.0,29.0
63 days,76.0,0.0,29.0
64 days,88.0,0.0,92.0
65 days,110.0,0.0,145.0
66 days,119.0,0.0,45.0
67 days,130.0,0.0,55.0
68 days,114.0,0.0,13.0
69 days,99.0,0.0,150.0
70 days,150.0,0.0,26.0
71 days,187.0,0.0,18.0
72 days,214.0,0.0,98.0
73 days,265.0,0.0,140.0
74 days,245.0,0.0,28.0
75 days,330.0,0.0,27.0
76 days,167.0,0.0,15.0
77 days,295.0,0.0,82.0
78 days,295.0,1.0,40.0
79 days,285.0,1.0,13.0
