Dates,Infected,Dead,Recovered
1 days,11,0,0
2 days,11,0,0
3 days,4,0,0
4 days,3,0,0
5 days,5,0,0
6 days,4,0,0
7 days,3,0,0
8 days,2,0,0
9 days,2,0,0
10 days,4,0,1
11 days,11,0,1
12 days,10,0,1
13 days,12,0,3
14 days,8,0,6
15 days,37,0,10
16 days,33,0,7
17 days,28,0,7
18 days,5,0,3
19 days,6,0,8
20 days,6,0,11
21 days,6,0,12
22 days,14,0,9
23 days,21,0,8
24 days,19,0,6
25 days,16,0,12
26 days,19,0,16
27 days,31,0,16
28 days,29,1,17
29 days,28,1,9
30 days,27,1,18
31 days,25,0,17
32 days,19,0,29
33 days,14,0,23
34 days,16,0,17
35 days,30,0,10
36 days,23,0,22
37 days,43,0,34
38 days,35,0,29
39 days,40,0,29
40 days,19,0,17
41 days,28,0,25
42 days,41,0,12
43 days,41,0,15
44 days,44,0,20
45 days,38,0,27
46 days,72,0,26
47 days,83,0,13
48 days,145,0,17
49 days,163,0,30
50 days,178,0,35
51 days,113,0,37
52 days,71,0,27
53 days,34,0,31
54 days,60,0,19
55 days,56,0,15
56 days,67,0,10
57 days,49,0,89
58 days,103,0,104
59 days,182,0,110
60 days,187,0,45
61 days,143,0,36
62 days,68,0,35
63 days,74,0,50
64 days,91,0,89
65 days,106,0,94
66 days,120,0,82
67 days,121,0,38
68 days,114,0,73
69 days,121,0,63
70 days,145,0,65
71 days,184,0,47
72 days,222,0,85
73 days,241,0,89
74 days,280,0,65
75 days,247,0,23
76 days,264,0,41
77 days,252,0,46
78 days,292,1,45
