Dates,Infected,Dead,Recovered
0 days,3.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,2.0,0.0,0.0
8 days,3.0,0.0,2.0
9 days,2.0,0.0,1.0
10 days,4.0,1.0,0.0
11 days,3.0,0.0,0.0
12 days,3.0,0.0,0.0
13 days,5.0,1.0,0.0
14 days,2.0,0.0,0.0
15 days,6.0,1.0,0.0
16 days,6.0,1.0,2.0
17 days,0.0,1.0,2.0
18 days,5.0,0.0,4.0
19 days,4.0,0.0,0.0
20 days,0.0,0.0,4.0
21 days,0.0,0.0,0.0
22 days,1.0,0.0,4.0
23 days,2.0,0.0,6.0
24 days,3.0,1.0,0.0
25 days,2.0,0.0,0.0
26 days,5.0,0.0,1.0
27 days,9.0,2.0,4.0
28 days,18.0,1.0,3.0
29 days,35.0,3.0,0.0
30 days,41.0,5.0,0.0
31 days,54.0,3.0,0.0
32 days,112.0,1.0,0.0
33 days,94.0,6.0,0.0
34 days,58.0,3.0,3.0
35 days,139.0,4.0,3.0
36 days,182.0,5.0,3.0
37 days,209.0,7.0,0.0
38 days,219.0,4.0,7.0
39 days,341.0,10.0,0.0
40 days,266.0,15.0,9.0
41 days,306.0,9.0,8.0
42 days,312.0,7.0,9.0
43 days,492.0,10.0,10.0
44 days,434.0,9.0,2.0
45 days,390.0,10.0,5.0
46 days,414.0,7.0,16.0
47 days,503.0,4.0,4.0
48 days,309.0,9.0,1.0
49 days,418.0,5.0,9.0
50 days,497.0,7.0,9.0
51 days,549.0,3.0,8.0
52 days,641.0,8.0,11.0
53 days,564.0,5.0,10.0
54 days,571.0,2.0,14.0
55 days,552.0,5.0,3.0
56 days,665.0,2.0,886.0
57 days,688.0,5.0,146.0
58 days,786.0,1.0,194.0
59 days,790.0,3.0,0.0
60 days,706.0,13.0,507.0
61 days,709.0,7.0,191.0
62 days,636.0,8.0,313.0
63 days,887.0,14.0,236.0
64 days,1034.0,11.0,252.0
65 days,969.0,11.0,245.0
66 days,1162.0,19.0,214.0
