Dates,Infected,Dead,Recovered
1 days,1,0,0
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,1,0,0
7 days,2,0,1
8 days,2,0,1
9 days,3,0,1
10 days,3,0,0
11 days,3,0,0
12 days,4,0,0
13 days,3,0,0
14 days,4,1,0
15 days,5,1,1
16 days,4,1,1
17 days,4,1,3
18 days,3,0,2
19 days,3,0,3
20 days,1,0,1
21 days,0,0,3
22 days,1,0,3
23 days,2,0,3
24 days,2,0,2
25 days,3,0,0
26 days,5,1,2
27 days,11,1,3
28 days,21,2,2
29 days,31,3,1
30 days,43,4,0
31 days,69,3,0
32 days,87,3,0
33 days,88,3,1
34 days,97,4,2
35 days,126,4,3
36 days,177,5,2
37 days,203,5,3
38 days,256,7,2
39 days,275,10,5
40 days,304,11,6
41 days,295,10,9
42 days,370,9,9
43 days,413,9,7
44 days,439,10,6
45 days,413,9,8
46 days,436,7,8
47 days,409,7,7
48 days,410,6,5
49 days,408,7,6
50 days,488,5,9
51 days,562,6,9
52 days,585,5,10
53 days,592,5,12
54 days,562,4,9
55 days,596,3,301
56 days,635,4,345
57 days,713,3,409
58 days,755,3,113
59 days,761,6,234
60 days,735,8,233
61 days,684,9,337
62 days,744,10,247
63 days,852,11,267
64 days,963,12,244
65 days,1055,14,237
