Dates,Infected,Dead,Recovered
0 days,2.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,3.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,1.0,0.0,0.0
5 days,8.0,0.0,0.0
6 days,3.0,0.0,0.0
7 days,1.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,6.0,0.0,0.0
11 days,2.0,0.0,0.0
12 days,7.0,0.0,0.0
13 days,0.0,0.0,0.0
14 days,1.0,0.0,0.0
15 days,0.0,0.0,0.0
16 days,12.0,0.0,0.0
17 days,5.0,0.0,0.0
18 days,1.0,0.0,0.0
19 days,4.0,1.0,6.0
20 days,4.0,1.0,0.0
21 days,3.0,1.0,0.0
22 days,0.0,0.0,2.0
23 days,3.0,0.0,3.0
24 days,1.0,1.0,0.0
25 days,1.0,0.0,0.0
26 days,3.0,0.0,0.0
27 days,1.0,0.0,2.0
28 days,0.0,0.0,0.0
29 days,1.0,1.0,2.0
30 days,2.0,0.0,0.0
31 days,0.0,0.0,0.0
32 days,0.0,0.0,2.0
33 days,0.0,0.0,0.0
34 days,0.0,0.0,2.0
35 days,0.0,0.0,6.0
36 days,0.0,0.0,0.0
