Dates,Infected,Dead,Recovered
2 days,2,0,0
3 days,1,0,0
4 days,1,0,0
5 days,3,0,0
6 days,4,0,0
7 days,4,0,0
8 days,1,0,0
9 days,0,0,0
10 days,2,0,0
11 days,3,0,0
12 days,5,0,0
13 days,3,0,0
14 days,3,0,0
15 days,0,0,0
16 days,4,0,0
17 days,6,0,0
18 days,6,0,0
19 days,3,0,2
20 days,3,1,2
21 days,4,1,2
22 days,2,1,1
23 days,2,0,2
24 days,1,0,2
25 days,2,0,1
26 days,2,0,0
27 days,2,0,1
28 days,1,0,1
29 days,1,0,1
30 days,1,0,1
31 days,1,0,1
32 days,1,0,1
33 days,0,0,1
34 days,0,0,1
35 days,0,0,3
36 days,0,0,3
