Dates,Infected,Dead,Recovered
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,2,0,0
6 days,2,0,0
7 days,2,0,0
8 days,0,0,0
9 days,0,0,0
10 days,0,0,0
11 days,1,0,1
12 days,1,0,1
13 days,2,0,1
14 days,6,0,0
15 days,6,0,0
16 days,5,0,0
17 days,3,0,0
18 days,3,0,0
19 days,8,0,1
20 days,5,0,1
21 days,11,0,1
22 days,8,0,3
23 days,8,0,3
24 days,4,0,3
25 days,2,0,2
26 days,3,0,5
27 days,2,0,5
28 days,4,0,3
29 days,3,0,1
30 days,3,0,1
31 days,19,0,0
32 days,19,0,5
33 days,23,1,7
34 days,51,1,7
35 days,66,1,2
36 days,92,1,0
37 days,86,1,0
38 days,116,3,0
39 days,140,3,1
40 days,168,2,8
41 days,262,1,29
42 days,373,2,38
43 days,387,3,32
44 days,364,3,21
45 days,313,3,11
46 days,352,3,10
47 days,383,3,0
48 days,428,4,0
49 days,499,3,46
50 days,350,3,46
51 days,192,2,97
52 days,495,3,57
53 days,648,3,78
54 days,834,4,92
55 days,586,3,141
56 days,683,3,181
57 days,770,3,268
58 days,814,4,252
59 days,839,4,207
60 days,873,4,140
61 days,906,4,126
62 days,913,5,215
63 days,903,5,308
64 days,882,4,348
65 days,893,3,270
66 days,857,3,114
67 days,841,3,218
