Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,0.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,0.0,0.0,0.0
13 days,0.0,0.0,1.0
14 days,0.0,0.0,0.0
15 days,0.0,0.0,0.0
16 days,0.0,0.0,0.0
17 days,0.0,0.0,0.0
18 days,0.0,0.0,0.0
19 days,0.0,0.0,0.0
20 days,0.0,0.0,0.0
21 days,0.0,0.0,0.0
22 days,0.0,0.0,0.0
23 days,0.0,0.0,0.0
24 days,0.0,0.0,0.0
25 days,0.0,0.0,0.0
26 days,1.0,0.0,0.0
27 days,6.0,0.0,0.0
28 days,5.0,0.0,0.0
29 days,10.0,0.0,0.0
30 days,27.0,0.0,0.0
31 days,59.0,0.0,0.0
32 days,60.0,0.0,0.0
33 days,31.0,0.0,0.0
34 days,39.0,0.0,0.0
35 days,28.0,0.0,0.0
36 days,47.0,3.0,0.0
37 days,0.0,0.0,0.0
38 days,245.0,0.0,0.0
39 days,130.0,1.0,0.0
40 days,197.0,0.0,0.0
41 days,172.0,1.0,0.0
42 days,185.0,5.0,0.0
43 days,243.0,4.0,0.0
44 days,309.0,7.0,0.0
45 days,462.0,16.0,0.0
46 days,558.0,30.0,262.0
47 days,586.0,8.0,0.0
48 days,342.0,13.0,0.0
49 days,526.0,34.0,198.0
50 days,668.0,56.0,86.0
51 days,1298.0,42.0,128.0
52 days,1049.0,69.0,183.0
53 days,1850.0,64.0,205.0
54 days,1702.0,78.0,296.0
55 days,1063.0,82.0,168.0
56 days,876.0,192.0,169.0
57 days,1189.0,123.0,436.0
58 days,1384.0,183.0,363.0
59 days,1422.0,132.0,377.0
60 days,1661.0,140.0,375.0
61 days,1260.0,164.0,504.0
62 days,1123.0,185.0,235.0
63 days,1380.0,403.0,171.0
64 days,1209.0,205.0,524.0
65 days,1580.0,283.0,483.0
66 days,1684.0,496.0,404.0
67 days,1351.0,327.0,418.0
68 days,1629.0,254.0,477.0
69 days,942.0,303.0,244.0
70 days,530.0,254.0,161.0
71 days,2454.0,283.0,239.0
72 days,1236.0,417.0,455.0
73 days,1329.0,306.0,399.0
74 days,1045.0,290.0,387.0
75 days,1313.0,230.0,409.0
76 days,1487.0,145.0,138.0
77 days,973.0,170.0,107.0
78 days,933.0,264.0,431.0
