Dates,Infected,Dead,Recovered
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,0,0,0
10 days,0,0,0
11 days,0,0,0
12 days,0,0,0
13 days,0,0,0
14 days,0,0,0
15 days,0,0,0
16 days,0,0,0
17 days,0,0,0
18 days,0,0,0
19 days,0,0,0
20 days,0,0,0
21 days,0,0,0
22 days,0,0,0
23 days,0,0,0
24 days,0,0,0
25 days,0,0,0
26 days,0,0,0
27 days,2,0,0
28 days,4,0,0
29 days,7,0,0
30 days,14,0,0
31 days,32,0,0
32 days,49,0,0
33 days,50,0,0
34 days,43,0,0
35 days,33,0,0
36 days,38,1,0
37 days,25,1,0
38 days,97,1,0
39 days,125,0,0
40 days,191,0,0
41 days,166,1,0
42 days,185,2,0
43 days,200,3,0
44 days,246,5,0
45 days,338,9,0
46 days,443,18,87
47 days,535,18,87
48 days,495,17,87
49 days,485,18,66
50 days,512,34,95
51 days,831,44,137
52 days,1005,56,132
53 days,1399,58,172
54 days,1534,70,228
55 days,1538,75,223
56 days,1214,117,211
57 days,1043,132,258
58 days,1150,166,323
59 days,1332,146,392
60 days,1489,152,372
61 days,1448,145,419
62 days,1348,163,371
63 days,1254,251,303
64 days,1237,264,310
65 days,1390,297,393
66 days,1491,328,470
67 days,1538,369,435
68 days,1555,359,433
69 days,1307,295,380
70 days,1034,270,294
71 days,1309,280,215
72 days,1407,318,285
73 days,1673,335,364
74 days,1203,338,414
75 days,1229,275,398
76 days,1282,222,311
77 days,1258,182,218
78 days,1131,193,225
