Dates,Infected,Dead,Recovered
1 days,1,0,0
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,1,0,0
7 days,1,0,0
8 days,1,0,0
9 days,0,0,0
10 days,0,0,0
11 days,0,0,0
12 days,0,0,0
13 days,0,0,0
14 days,1,0,0
15 days,2,0,0
16 days,2,0,0
17 days,2,0,0
18 days,1,0,0
19 days,3,0,1
20 days,3,0,1
21 days,3,0,1
22 days,1,0,0
23 days,0,0,0
24 days,3,0,0
25 days,3,0,0
26 days,3,0,0
27 days,0,0,0
28 days,0,0,4
29 days,0,0,4
30 days,0,0,4
31 days,0,0,0
32 days,0,0,0
33 days,0,0,0
34 days,6,0,3
35 days,6,0,3
36 days,6,0,3
37 days,0,0,0
38 days,0,0,0
39 days,0,0,0
40 days,3,0,2
41 days,3,0,2
42 days,3,0,2
43 days,0,0,0
44 days,0,0,0
45 days,9,0,3
46 days,9,0,3
47 days,9,0,3
48 days,2,0,3
49 days,2,0,3
50 days,2,0,3
51 days,15,0,1
52 days,49,0,4
53 days,63,0,4
54 days,60,0,3
55 days,26,0,0
56 days,14,0,5
57 days,3,0,7
