Dates,Infected,Dead,Recovered
0 days,2.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,1.0,0.0,0.0
3 days,7.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,1.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,1.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,3.0,0.0,0.0
10 days,4.0,0.0,0.0
11 days,5.0,0.0,0.0
12 days,3.0,0.0,0.0
13 days,2.0,0.0,0.0
14 days,3.0,0.0,0.0
15 days,11.0,0.0,0.0
16 days,18.0,0.0,0.0
17 days,13.0,0.0,0.0
18 days,7.0,1.0,0.0
19 days,16.0,3.0,0.0
20 days,10.0,2.0,0.0
21 days,8.0,1.0,1.0
22 days,8.0,1.0,0.0
23 days,9.0,1.0,0.0
24 days,7.0,1.0,0.0
25 days,18.0,0.0,1.0
26 days,26.0,1.0,0.0
27 days,11.0,3.0,0.0
28 days,16.0,1.0,0.0
29 days,54.0,3.0,0.0
30 days,4.0,1.0,0.0
31 days,7.0,1.0,0.0
32 days,25.0,4.0,0.0
33 days,30.0,3.0,0.0
34 days,24.0,1.0,4.0
35 days,43.0,0.0,1.0
36 days,44.0,1.0,7.0
37 days,24.0,2.0,12.0
38 days,28.0,0.0,5.0
39 days,27.0,1.0,0.0
40 days,44.0,1.0,0.0
41 days,34.0,1.0,6.0
42 days,11.0,3.0,7.0
43 days,94.0,6.0,0.0
44 days,104.0,1.0,10.0
45 days,59.0,2.0,0.0
46 days,84.0,4.0,26.0
47 days,64.0,3.0,18.0
48 days,39.0,2.0,12.0
49 days,57.0,4.0,7.0
50 days,57.0,3.0,15.0
51 days,62.0,4.0,2.0
52 days,241.0,5.0,25.0
53 days,124.0,5.0,7.0
54 days,87.0,6.0,8.0
55 days,121.0,4.0,13.0
56 days,84.0,5.0,11.0
57 days,195.0,11.0,21.0
58 days,185.0,4.0,18.0
59 days,171.0,8.0,21.0
60 days,119.0,4.0,15.0
61 days,275.0,4.0,26.0
62 days,133.0,6.0,14.0
63 days,184.0,14.0,26.0
