Dates,Infected,Dead,Recovered
1 days,1,0,0
2 days,3,0,0
3 days,3,0,0
4 days,3,0,0
5 days,0,0,0
6 days,1,0,0
7 days,0,0,0
8 days,1,0,0
9 days,2,0,0
10 days,4,0,0
11 days,4,0,0
12 days,3,0,0
13 days,3,0,0
14 days,5,0,0
15 days,11,0,0
16 days,14,0,0
17 days,13,0,0
18 days,12,1,0
19 days,11,2,0
20 days,11,2,0
21 days,9,1,0
22 days,8,1,0
23 days,8,1,0
24 days,11,1,0
25 days,17,1,0
26 days,18,1,0
27 days,18,2,0
28 days,27,2,0
29 days,25,2,0
30 days,22,2,0
31 days,12,2,0
32 days,21,3,0
33 days,26,3,1
34 days,32,1,2
35 days,37,1,4
36 days,37,1,7
37 days,32,1,8
38 days,26,1,6
39 days,33,1,2
40 days,35,1,2
41 days,30,2,4
42 days,46,3,4
43 days,70,3,6
44 days,86,3,3
45 days,82,2,12
46 days,69,3,15
47 days,62,3,19
48 days,53,3,12
49 days,51,3,11
50 days,59,4,8
51 days,120,4,14
52 days,142,5,11
53 days,151,5,13
54 days,111,5,9
55 days,97,5,11
56 days,133,7,15
57 days,155,7,17
58 days,184,8,20
59 days,158,5,18
60 days,188,5,21
61 days,176,5,18
62 days,197,8,22
