Dates,Infected,Dead,Recovered
0 days,2.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,1.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,2.0,0.0,0.0
6 days,2.0,0.0,0.0
7 days,4.0,0.0,0.0
8 days,2.0,0.0,0.0
9 days,5.0,0.0,0.0
10 days,6.0,0.0,0.0
11 days,1.0,0.0,0.0
12 days,1.0,0.0,2.0
13 days,12.0,0.0,0.0
14 days,25.0,0.0,0.0
15 days,26.0,0.0,0.0
16 days,4.0,1.0,0.0
17 days,33.0,0.0,0.0
18 days,10.0,0.0,0.0
19 days,30.0,2.0,0.0
20 days,10.0,0.0,0.0
21 days,15.0,0.0,0.0
22 days,46.0,1.0,3.0
23 days,21.0,1.0,0.0
24 days,65.0,1.0,3.0
25 days,45.0,4.0,9.0
26 days,52.0,3.0,0.0
27 days,39.0,0.0,2.0
28 days,74.0,3.0,1.0
29 days,46.0,1.0,7.0
30 days,45.0,4.0,3.0
31 days,30.0,2.0,0.0
32 days,20.0,6.0,17.0
33 days,90.0,4.0,21.0
34 days,40.0,1.0,11.0
35 days,54.0,1.0,22.0
36 days,43.0,1.0,28.0
37 days,45.0,1.0,10.0
38 days,63.0,2.0,54.0
39 days,28.0,0.0,13.0
40 days,46.0,1.0,30.0
41 days,27.0,1.0,17.0
42 days,57.0,2.0,24.0
43 days,47.0,3.0,43.0
44 days,54.0,1.0,18.0
45 days,17.0,1.0,9.0
46 days,24.0,1.0,34.0
47 days,33.0,2.0,56.0
48 days,26.0,2.0,23.0
49 days,45.0,1.0,25.0
50 days,8.0,1.0,53.0
51 days,65.0,2.0,54.0
52 days,30.0,2.0,32.0
53 days,49.0,1.0,35.0
54 days,20.0,3.0,23.0
55 days,92.0,2.0,28.0
56 days,80.0,4.0,17.0
57 days,24.0,1.0,28.0
58 days,58.0,2.0,24.0
59 days,18.0,5.0,46.0
60 days,69.0,1.0,30.0
61 days,20.0,1.0,56.0
62 days,41.0,7.0,17.0
63 days,40.0,4.0,26.0
64 days,43.0,8.0,6.0
65 days,20.0,4.0,99.0
66 days,27.0,5.0,47.0
67 days,24.0,6.0,8.0
68 days,17.0,4.0,54.0
69 days,23.0,3.0,60.0
