Dates,Infected,Dead,Recovered
2 days,1,0,0
3 days,0,0,0
4 days,0,0,0
5 days,1,0,0
6 days,1,0,0
7 days,3,0,0
8 days,3,0,0
9 days,4,0,0
10 days,4,0,0
11 days,4,0,0
12 days,3,0,1
13 days,5,0,1
14 days,13,0,1
15 days,21,0,0
16 days,18,0,0
17 days,21,0,0
18 days,16,0,0
19 days,24,1,0
20 days,17,1,0
21 days,18,1,0
22 days,24,0,1
23 days,27,1,1
24 days,44,1,2
25 days,44,2,4
26 days,54,3,4
27 days,45,2,4
28 days,55,2,1
29 days,53,1,3
30 days,55,3,4
31 days,40,2,3
32 days,32,4,7
33 days,47,4,13
34 days,50,4,16
35 days,61,2,18
36 days,46,1,20
37 days,47,1,20
38 days,50,1,31
39 days,45,1,26
40 days,46,1,32
41 days,34,1,20
42 days,43,1,24
43 days,44,2,28
44 days,53,2,28
45 days,39,2,23
46 days,32,1,20
47 days,25,1,33
48 days,28,2,38
