Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,1.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,2.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,9.0,0.0,0.0
10 days,0.0,0.0,0.0
11 days,7.0,0.0,0.0
12 days,5.0,0.0,0.0
13 days,6.0,0.0,0.0
14 days,7.0,0.0,0.0
15 days,14.0,0.0,0.0
16 days,99.0,0.0,0.0
17 days,0.0,0.0,0.0
18 days,11.0,0.0,0.0
19 days,38.0,0.0,1.0
20 days,121.0,1.0,1.0
21 days,51.0,2.0,0.0
22 days,249.0,3.0,0.0
23 days,172.0,5.0,0.0
24 days,228.0,4.0,0.0
25 days,525.0,10.0,0.0
26 days,378.0,9.0,0.0
27 days,323.0,12.0,0.0
28 days,307.0,13.0,0.0
29 days,431.0,18.0,4.0
30 days,432.0,15.0,0.0
31 days,487.0,19.0,0.0
32 days,352.0,25.0,0.0
33 days,323.0,23.0,114.0
34 days,1138.0,42.0,7.0
35 days,1119.0,39.0,0.0
36 days,1208.0,84.0,0.0
37 days,1012.0,35.0,0.0
38 days,1304.0,86.0,0.0
39 days,770.0,41.0,0.0
40 days,1031.0,78.0,0.0
41 days,1873.0,122.0,0.0
42 days,2136.0,133.0,0.0
43 days,1922.0,131.0,46.0
44 days,1546.0,107.0,0.0
45 days,1089.0,67.0,0.0
46 days,1465.0,99.0,0.0
47 days,1238.0,105.0,0.0
48 days,1832.0,204.0,2873.0
49 days,3058.0,204.0,10980.0
50 days,2105.0,188.0,0.0
51 days,3257.0,217.0,0.0
52 days,2976.0,213.0,0.0
53 days,1996.0,108.0,8104.0
54 days,2089.0,125.0,0.0
55 days,2336.0,154.0,861.0
56 days,2678.0,165.0,2327.0
