Dates,Infected,Dead,Recovered
1 days,0,0,0
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,1,0,0
7 days,1,0,0
8 days,4,0,0
9 days,3,0,0
10 days,5,0,0
11 days,4,0,0
12 days,6,0,0
13 days,6,0,0
14 days,9,0,0
15 days,40,0,0
16 days,38,0,0
17 days,37,0,0
18 days,16,0,0
19 days,57,0,1
20 days,70,1,1
21 days,140,2,0
22 days,157,3,0
23 days,216,4,0
24 days,308,6,0
25 days,377,8,0
26 days,409,10,0
27 days,336,11,0
28 days,354,14,1
29 days,390,15,1
30 days,450,17,1
31 days,424,20,0
32 days,387,22,38
33 days,604,30,40
34 days,860,35,40
35 days,1155,55,2
36 days,1113,53,0
37 days,1175,68,0
38 days,1029,54,0
39 days,1035,68,0
40 days,1225,80,0
41 days,1680,111,0
42 days,1977,129,15
43 days,1868,124,15
44 days,1519,102,15
45 days,1367,91,0
46 days,1264,90,0
47 days,1512,136,958
48 days,2043,171,4618
49 days,2332,199,4618
50 days,2807,203,3660
51 days,2779,206,0
52 days,2743,179,2701
53 days,2354,149,2701
54 days,2140,129,2988
55 days,2368,148,1063
56 days,3098,248,1481
57 days,3655,321,1555
58 days,4522,384,1281
59 days,4355,318,1193
60 days,4468,300,1162
61 days,4637,342,1128
62 days,5528,409,1327
63 days,6580,468,1598
64 days,6322,443,1832
65 days,5805,416,2268
66 days,4880,348,2352
67 days,5473,318,2592
68 days,6118,392,2428
69 days,8262,512,2793
70 days,9051,608,3178
71 days,10480,693,3692
72 days,9817,689,3438
73 days,8975,644,3202
74 days,7567,545,2696
75 days,7384,602,3637
76 days,9146,706,4489
