Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,10.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,26.0,0.0,0.0
5 days,3.0,0.0,0.0
6 days,10.0,0.0,0.0
7 days,4.0,0.0,0.0
8 days,2.0,0.0,0.0
9 days,12.0,0.0,0.0
10 days,7.0,0.0,0.0
11 days,3.0,0.0,1.0
12 days,5.0,0.0,1.0
13 days,5.0,0.0,0.0
14 days,3.0,0.0,0.0
15 days,13.0,0.0,0.0
16 days,5.0,0.0,0.0
17 days,5.0,0.0,3.0
18 days,1.0,0.0,6.0
19 days,5.0,1.0,14.0
20 days,6.0,0.0,9.0
21 days,1.0,0.0,4.0
22 days,2.0,0.0,7.0
23 days,2.0,0.0,7.0
24 days,2.0,0.0,4.0
25 days,1.0,0.0,9.0
26 days,1.0,0.0,1.0
27 days,0.0,0.0,7.0
28 days,0.0,0.0,9.0
29 days,0.0,0.0,3.0
30 days,0.0,0.0,6.0
31 days,0.0,0.0,1.0
32 days,1.0,0.0,7.0
33 days,0.0,0.0,5.0
34 days,0.0,0.0,2.0
35 days,0.0,0.0,1.0
36 days,0.0,0.0,0.0
37 days,0.0,0.0,1.0
38 days,0.0,0.0,0.0
39 days,0.0,0.0,4.0
40 days,1.0,0.0,1.0
41 days,1.0,0.0,2.0
42 days,0.0,0.0,1.0
43 days,0.0,0.0,0.0
44 days,0.0,0.0,1.0
