Dates,Infected,Dead,Recovered
2 days,4,0,0
3 days,3,0,0
4 days,12,0,0
5 days,10,0,0
6 days,13,0,0
7 days,6,0,0
8 days,5,0,0
9 days,6,0,0
10 days,7,0,0
11 days,7,0,0
12 days,5,0,1
13 days,4,0,1
14 days,4,0,0
15 days,7,0,0
16 days,7,0,0
17 days,8,0,1
18 days,4,0,3
19 days,4,0,8
20 days,4,0,10
21 days,4,0,9
22 days,3,0,7
23 days,2,0,6
24 days,2,0,6
25 days,2,0,7
26 days,1,0,5
27 days,1,0,6
28 days,0,0,6
29 days,0,0,6
30 days,0,0,6
31 days,0,0,3
32 days,0,0,5
33 days,0,0,4
34 days,0,0,5
35 days,0,0,3
36 days,0,0,1
37 days,0,0,1
38 days,0,0,0
39 days,0,0,2
40 days,0,0,2
41 days,1,0,2
42 days,1,0,1
43 days,0,0,1
44 days,0,0,1
45 days,0,0,1
46 days,0,0,1
47 days,0,0,1
48 days,0,0,1
49 days,0,0,1
50 days,0,0,1
51 days,0,0,0
52 days,0,0,0
53 days,0,0,0
54 days,0,0,1
55 days,0,0,1
56 days,0,0,2
57 days,0,0,2
