Dates,Infected,Dead,Recovered
0 days,4.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,3.0,1.0,0.0
4 days,0.0,0.0,0.0
5 days,16.0,0.0,0.0
6 days,18.0,1.0,0.0
7 days,10.0,0.0,0.0
8 days,1.0,0.0,0.0
9 days,15.0,0.0,0.0
10 days,25.0,0.0,0.0
11 days,2.0,1.0,0.0
12 days,33.0,0.0,0.0
13 days,36.0,0.0,3.0
14 days,24.0,0.0,0.0
15 days,14.0,0.0,0.0
16 days,17.0,0.0,0.0
17 days,24.0,0.0,1.0
18 days,22.0,0.0,4.0
19 days,29.0,0.0,1.0
20 days,38.0,4.0,2.0
21 days,15.0,1.0,3.0
22 days,13.0,0.0,3.0
23 days,40.0,0.0,0.0
24 days,23.0,2.0,3.0
25 days,35.0,0.0,5.0
26 days,28.0,4.0,5.0
27 days,18.0,3.0,4.0
28 days,28.0,3.0,3.0
29 days,18.0,2.0,2.0
30 days,28.0,1.0,3.0
31 days,16.0,1.0,0.0
32 days,25.0,0.0,6.0
33 days,17.0,1.0,6.0
34 days,26.0,3.0,8.0
35 days,14.0,1.0,6.0
36 days,10.0,3.0,3.0
37 days,28.0,3.0,10.0
38 days,34.0,1.0,24.0
39 days,53.0,2.0,17.0
40 days,46.0,3.0,19.0
41 days,32.0,0.0,12.0
42 days,16.0,1.0,8.0
43 days,35.0,1.0,6.0
44 days,46.0,2.0,3.0
45 days,49.0,4.0,4.0
46 days,73.0,3.0,16.0
47 days,137.0,2.0,7.0
48 days,13.0,1.0,0.0
49 days,53.0,1.0,8.0
50 days,63.0,2.0,1.0
51 days,36.0,0.0,16.0
52 days,48.0,6.0,21.0
53 days,59.0,2.0,23.0
54 days,49.0,2.0,10.0
55 days,39.0,4.0,11.0
56 days,24.0,1.0,21.0
57 days,34.0,5.0,13.0
58 days,52.0,2.0,21.0
59 days,74.0,4.0,18.0
60 days,51.0,0.0,24.0
61 days,43.0,2.0,17.0
62 days,49.0,4.0,21.0
63 days,44.0,1.0,22.0
64 days,25.0,2.0,17.0
65 days,33.0,2.0,15.0
66 days,46.0,1.0,23.0
