Dates,Infected,Dead,Recovered
1 days,1,0,0
2 days,1,0,0
3 days,1,0,0
4 days,6,0,0
5 days,11,0,0
6 days,15,0,0
7 days,10,0,0
8 days,9,0,0
9 days,14,0,0
10 days,14,0,0
11 days,20,0,0
12 days,24,0,1
13 days,31,0,1
14 days,25,0,1
15 days,18,0,0
16 days,18,0,0
17 days,21,0,2
18 days,25,0,2
19 days,30,1,2
20 days,27,2,2
21 days,22,2,3
22 days,23,0,2
23 days,25,1,2
24 days,33,1,3
25 days,29,2,4
26 days,27,2,5
27 days,25,3,4
28 days,21,3,3
29 days,25,2,3
30 days,21,1,2
31 days,23,1,3
32 days,19,1,4
33 days,23,1,7
34 days,19,2,7
35 days,17,2,6
36 days,17,2,6
37 days,24,2,12
38 days,38,2,17
39 days,44,2,20
40 days,44,2,16
41 days,31,1,13
42 days,28,1,9
43 days,32,1,6
44 days,43,2,4
45 days,56,3,8
46 days,86,3,9
47 days,74,2,8
48 days,68,1,5
49 days,43,1,3
50 days,51,1,8
51 days,49,3,13
52 days,48,3,20
53 days,52,3,18
54 days,49,3,15
55 days,37,2,14
56 days,32,3,15
57 days,37,3,18
58 days,53,4,17
59 days,59,2,21
60 days,56,2,20
61 days,48,2,21
62 days,45,2,20
63 days,39,2,20
64 days,34,2,18
65 days,35,2,18
