Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,1.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,1.0,0.0,0.0
6 days,12.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,5.0,1.0,0.0
9 days,13.0,0.0,0.0
10 days,7.0,0.0,0.0
11 days,24.0,1.0,5.0
12 days,11.0,2.0,0.0
13 days,24.0,0.0,0.0
14 days,15.0,0.0,2.0
15 days,32.0,0.0,3.0
16 days,6.0,3.0,0.0
17 days,28.0,2.0,2.0
18 days,27.0,2.0,9.0
19 days,15.0,1.0,2.0
20 days,24.0,0.0,8.0
21 days,15.0,2.0,1.0
22 days,21.0,2.0,14.0
23 days,6.0,0.0,4.0
24 days,14.0,0.0,0.0
25 days,16.0,0.0,16.0
26 days,27.0,1.0,24.0
27 days,19.0,1.0,18.0
28 days,20.0,1.0,19.0
29 days,30.0,4.0,7.0
30 days,29.0,1.0,12.0
31 days,0.0,0.0,0.0
32 days,41.0,3.0,9.0
33 days,13.0,0.0,6.0
34 days,0.0,0.0,0.0
35 days,31.0,3.0,16.0
36 days,14.0,2.0,49.0
37 days,4.0,0.0,31.0
38 days,11.0,3.0,37.0
39 days,8.0,1.0,27.0
40 days,11.0,0.0,17.0
41 days,5.0,2.0,19.0
42 days,19.0,0.0,5.0
43 days,9.0,1.0,27.0
44 days,7.0,2.0,21.0
45 days,13.0,0.0,15.0
46 days,0.0,0.0,17.0
47 days,3.0,1.0,11.0
48 days,3.0,0.0,16.0
49 days,3.0,0.0,7.0
50 days,3.0,1.0,22.0
51 days,4.0,0.0,8.0
52 days,4.0,1.0,11.0
53 days,3.0,0.0,18.0
54 days,10.0,1.0,5.0
55 days,10.0,1.0,5.0
56 days,16.0,2.0,3.0
57 days,41.0,0.0,7.0
58 days,7.0,0.0,7.0
59 days,8.0,0.0,4.0
60 days,4.0,0.0,3.0
61 days,3.0,1.0,8.0
62 days,9.0,1.0,7.0
63 days,6.0,1.0,4.0
64 days,7.0,0.0,4.0
