Dates,Infected,Dead,Recovered
2 days,1,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,4,0,0
7 days,4,0,0
8 days,6,0,0
9 days,6,0,0
10 days,8,0,0
11 days,15,0,2
12 days,14,1,2
13 days,20,1,2
14 days,17,1,1
15 days,24,0,2
16 days,18,1,2
17 days,22,2,2
18 days,20,2,4
19 days,23,2,4
20 days,22,1,6
21 days,18,1,4
22 days,20,1,8
23 days,14,1,6
24 days,14,1,6
25 days,12,0,7
26 days,19,0,13
27 days,21,1,19
28 days,22,1,20
29 days,23,2,15
30 days,26,2,13
31 days,20,2,6
32 days,23,1,7
33 days,18,1,5
34 days,18,1,5
35 days,15,1,7
36 days,15,2,22
37 days,16,2,32
38 days,10,2,39
39 days,8,1,32
40 days,10,1,27
41 days,8,1,21
42 days,12,1,14
43 days,11,1,17
44 days,12,1,18
45 days,10,1,21
46 days,7,1,18
47 days,5,0,14
48 days,2,0,15
49 days,3,0,11
50 days,3,0,15
51 days,3,0,12
52 days,4,1,14
53 days,4,0,12
54 days,6,1,11
55 days,8,1,9
56 days,12,1,4
