Dates,Infected,Dead,Recovered
1 days,0,0,0
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,0,0,0
10 days,0,0,0
11 days,0,0,0
12 days,0,0,0
13 days,0,0,0
14 days,0,0,0
15 days,0,0,0
16 days,0,0,0
17 days,0,0,0
18 days,0,0,0
19 days,0,0,0
20 days,0,0,0
21 days,0,0,0
22 days,0,0,0
23 days,0,0,0
24 days,0,0,0
25 days,0,0,0
26 days,0,0,0
27 days,0,0,0
28 days,0,0,0
29 days,0,0,0
30 days,0,0,0
31 days,0,0,0
32 days,0,0,0
33 days,0,0,0
34 days,0,0,0
35 days,0,0,0
36 days,0,0,0
37 days,0,0,0
38 days,0,0,0
39 days,0,0,0
40 days,0,0,0
41 days,0,0,0
42 days,0,0,0
43 days,0,0,0
44 days,0,0,0
45 days,1,0,0
46 days,1,0,0
47 days,1,0,0
48 days,1,0,0
49 days,9,0,0
50 days,9,0,0
51 days,10,0,0
52 days,6,0,0
53 days,6,0,0
54 days,16,0,0
55 days,12,0,0
56 days,13,0,1
57 days,4,0,3
58 days,3,0,3
59 days,3,0,2
60 days,1,0,1
61 days,2,0,4
62 days,3,0,3
63 days,3,0,3
64 days,2,0,1
65 days,1,0,4
66 days,2,0,4
67 days,2,0,8
68 days,1,0,5
69 days,0,0,6
70 days,0,0,3
71 days,1,0,4
72 days,2,0,3
73 days,1,0,5
74 days,1,0,4
75 days,1,0,5
76 days,1,0,2
77 days,1,0,5
78 days,0,0,6
79 days,0,0,7
80 days,0,0,2
81 days,0,0,2
82 days,0,0,2
83 days,0,0,3
84 days,0,0,2
85 days,0,0,2
86 days,0,0,1
87 days,0,0,2
88 days,0,0,2
89 days,0,0,2
90 days,0,0,1
91 days,0,0,1
92 days,0,0,1
93 days,0,0,0
94 days,0,0,0
95 days,0,0,0
96 days,0,0,0
97 days,0,0,0
98 days,0,0,0
99 days,0,0,0
100 days,0,0,0
101 days,0,0,0
102 days,0,0,0
103 days,0,0,0
104 days,0,0,0
105 days,0,0,0
106 days,0,0,0
