Dates,Infected,Dead,Recovered
1 days,1,0,0
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,1,0,0
10 days,3,0,0
11 days,3,0,0
12 days,3,0,0
13 days,3,0,0
14 days,6,0,0
15 days,9,0,0
16 days,12,0,0
17 days,13,0,0
18 days,12,0,1
19 days,6,0,1
20 days,8,1,1
21 days,5,0,0
22 days,21,2,1
23 days,16,1,1
24 days,34,1,1
25 days,31,0,2
26 days,56,0,2
27 days,105,1,4
28 days,107,1,2
29 days,115,1,2
30 days,50,0,0
31 days,34,0,9
32 days,27,0,14
33 days,24,0,14
34 days,54,1,18
35 days,30,1,13
36 days,30,1,13
37 days,0,0,0
38 days,9,1,11
39 days,9,2,22
40 days,59,3,22
41 days,49,3,11
42 days,56,2,4
43 days,7,7,47
44 days,56,7,47
45 days,49,7,51
46 days,49,0,31
47 days,57,0,121
48 days,89,0,113
49 days,118,3,100
50 days,96,4,39
51 days,92,5,46
52 days,62,2,73
53 days,70,2,49
54 days,42,1,43
55 days,42,1,6
56 days,82,1,6
57 days,82,1,6
58 days,91,1,6
59 days,9,0,0
60 days,63,15,16
61 days,54,15,16
62 days,54,15,16
63 days,3,0,77
64 days,104,2,154
65 days,141,6,174
66 days,138,6,97
67 days,74,7,26
