Dates,Infected,Dead,Recovered
1 days,1,0,0
2 days,0,0,0
3 days,0,0,0
4 days,1,0,0
5 days,1,0,0
6 days,1,0,0
7 days,0,0,0
8 days,0,0,0
9 days,0,0,0
10 days,0,0,0
11 days,1,0,0
12 days,1,0,0
13 days,1,0,0
14 days,0,0,0
15 days,0,0,0
16 days,0,0,0
17 days,0,0,0
18 days,0,0,0
19 days,0,0,0
20 days,0,0,0
21 days,0,0,0
22 days,0,0,0
23 days,0,0,0
24 days,0,0,0
25 days,0,0,1
26 days,0,0,1
27 days,0,0,1
28 days,0,0,0
29 days,1,0,0
30 days,1,0,0
31 days,1,0,1
32 days,1,0,1
33 days,3,0,1
34 days,4,0,0
35 days,4,0,0
36 days,3,0,0
37 days,3,0,0
38 days,3,0,0
39 days,6,0,0
40 days,7,0,1
41 days,9,0,1
42 days,9,0,1
43 days,8,0,0
44 days,15,0,0
45 days,13,0,0
46 days,38,0,0
47 days,30,0,0
48 days,45,0,0
49 days,74,1,0
50 days,93,1,0
51 days,135,2,0
52 days,128,2,0
53 days,155,2,0
54 days,207,4,0
55 days,223,4,0
56 days,382,4,0
57 days,504,2,33
58 days,594,3,58
59 days,651,4,58
60 days,631,9,49
61 days,775,10,94
62 days,746,9,94
63 days,905,9,70
64 days,984,13,286
65 days,1093,15,286
66 days,1295,20,423
67 days,1303,26,284
68 days,1139,36,418
69 days,1491,40,426
70 days,1375,53,360
71 days,1631,52,405
72 days,1128,49,381
73 days,1364,55,635
74 days,1396,61,688
75 days,1392,82,812
76 days,1215,70,654
77 days,1207,75,634
78 days,1240,82,540
79 days,1303,98,614
80 days,1710,159,647
81 days,1926,152,778
82 days,2049,131,666
83 days,1608,102,716
84 days,1615,124,666
85 days,1682,170,741
86 days,2010,171,869
87 days,1880,171,739
88 days,1839,164,654
89 days,1569,164,520
90 days,1578,149,707
91 days,1566,146,1040
92 days,1593,137,1073
93 days,1611,156,1148
94 days,1614,156,1052
95 days,1731,185,1178
96 days,1687,176,1162
97 days,2016,162,1166
98 days,1871,155,1089
99 days,1763,169,1064
100 days,1397,190,1088
101 days,1415,179,1077
102 days,1486,169,1078
103 days,1408,152,1026
104 days,1297,150,950
105 days,1197,139,923
106 days,1167,159,931
107 days,1159,145,1023
