Dates,Infected,Dead,Recovered
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,1,0,0
6 days,1,0,0
7 days,1,0,0
8 days,0,0,0
9 days,0,0,0
10 days,0,0,0
11 days,0,0,0
12 days,0,0,0
13 days,0,0,0
14 days,0,0,0
15 days,0,0,0
16 days,0,0,0
17 days,0,0,0
18 days,0,0,0
19 days,2,0,0
20 days,2,0,0
21 days,2,0,0
22 days,0,0,0
23 days,0,0,0
24 days,0,0,0
25 days,0,0,0
26 days,0,0,0
27 days,0,0,0
28 days,0,0,0
29 days,1,0,1
30 days,1,0,1
31 days,1,0,1
32 days,0,0,0
33 days,0,0,0
34 days,0,0,0
35 days,0,0,0
36 days,0,0,0
37 days,1,0,2
38 days,1,0,2
39 days,1,0,2
40 days,1,0,0
41 days,1,0,0
42 days,1,0,0
43 days,1,0,0
44 days,11,0,0
45 days,10,0,0
46 days,10,0,0
47 days,7,0,0
48 days,7,0,0
49 days,7,0,0
50 days,4,0,0
51 days,4,0,0
