Dates,Infected,Dead,Recovered
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,1,0,0
6 days,1,0,0
7 days,1,0,0
8 days,0,0,0
9 days,0,0,0
10 days,0,0,0
11 days,1,0,0
12 days,1,0,0
13 days,1,0,0
14 days,1,0,0
15 days,0,0,0
16 days,1,0,0
17 days,0,0,0
18 days,0,0,0
19 days,0,0,1
20 days,0,0,1
21 days,1,0,1
22 days,0,0,0
23 days,0,0,0
24 days,2,0,0
25 days,4,0,0
26 days,4,0,0
27 days,2,0,0
28 days,1,0,1
29 days,1,0,1
30 days,3,0,2
31 days,2,0,1
32 days,2,0,1
33 days,0,0,0
34 days,0,0,0
35 days,0,0,0
36 days,2,0,0
37 days,4,0,2
38 days,4,0,2
39 days,2,0,2
40 days,2,1,1
41 days,2,1,1
42 days,9,2,6
43 days,7,1,5
44 days,22,3,7
45 days,15,2,2
46 days,15,2,2
47 days,18,2,1
