Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,3.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,4.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,5.0,0.0,0.0
8 days,10.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,20.0,0.0,0.0
11 days,18.0,0.0,0.0
12 days,13.0,0.0,0.0
13 days,81.0,0.0,0.0
14 days,46.0,0.0,0.0
15 days,37.0,0.0,0.0
16 days,0.0,0.0,0.0
17 days,196.0,0.0,6.0
18 days,103.0,0.0,0.0
19 days,95.0,1.0,2.0
20 days,114.0,1.0,0.0
21 days,176.0,0.0,9.0
22 days,220.0,1.0,5.0
23 days,164.0,1.0,0.0
24 days,304.0,1.0,21.0
25 days,299.0,1.0,18.0
26 days,230.0,1.0,14.0
27 days,310.0,1.0,81.0
28 days,289.0,4.0,0.0
29 days,293.0,4.0,78.0
30 days,373.0,2.0,101.0
31 days,333.0,4.0,92.0
32 days,424.0,5.0,101.0
33 days,310.0,7.0,90.0
34 days,344.0,3.0,110.0
35 days,301.0,6.0,170.0
36 days,430.0,5.0,217.0
37 days,426.0,9.0,159.0
38 days,529.0,8.0,297.0
39 days,426.0,8.0,293.0
40 days,286.0,7.0,195.0
41 days,312.0,2.0,308.0
42 days,392.0,10.0,279.0
43 days,356.0,2.0,291.0
44 days,534.0,11.0,362.0
45 days,445.0,11.0,322.0
46 days,478.0,10.0,414.0
47 days,358.0,7.0,303.0
48 days,419.0,6.0,338.0
49 days,325.0,8.0,293.0
50 days,464.0,13.0,417.0
51 days,516.0,8.0,418.0
52 days,494.0,6.0,523.0
53 days,552.0,7.0,419.0
54 days,473.0,8.0,278.0
55 days,482.0,9.0,303.0
56 days,552.0,9.0,383.0
57 days,520.0,9.0,347.0
58 days,1138.0,11.0,523.0
59 days,985.0,7.0,438.0
60 days,1427.0,13.0,554.0
61 days,1228.0,13.0,469.0
62 days,980.0,10.0,374.0
63 days,1373.0,5.0,295.0
64 days,1032.0,6.0,479.0
65 days,1533.0,4.0,475.0
66 days,1391.0,9.0,496.0
67 days,1247.0,10.0,507.0
68 days,1647.0,8.0,445.0
69 days,1197.0,11.0,493.0
70 days,1658.0,12.0,520.0
71 days,2660.0,11.0,740.0
