Dates,Infected,Dead,Recovered
1 days,1,0,0
2 days,1,0,0
3 days,1,0,0
4 days,1,0,0
5 days,1,0,0
6 days,3,0,0
7 days,5,0,0
8 days,5,0,0
9 days,10,0,0
10 days,13,0,0
11 days,17,0,0
12 days,37,0,0
13 days,47,0,0
14 days,55,0,0
15 days,28,0,0
16 days,78,0,2
17 days,100,0,2
18 days,131,0,3
19 days,104,1,1
20 days,128,1,4
21 days,170,1,5
22 days,187,1,5
23 days,229,1,9
24 days,256,1,13
25 days,278,1,18
26 days,280,1,38
27 days,276,2,32
28 days,297,3,53
29 days,318,3,60
30 days,333,3,90
31 days,377,4,98
32 days,356,5,94
33 days,359,5,100
34 days,318,5,123
35 days,358,5,166
36 days,386,7,182
37 days,462,7,224
38 days,460,8,250
39 days,414,8,262
40 days,341,6,265
41 days,330,6,261
42 days,353,5,293
43 days,427,8,311
44 days,445,8,325
45 days,486,11,366
46 days,427,9,346
47 days,418,8,352
48 days,367,7,311
49 days,403,9,349
50 days,435,10,376
51 days,491,9,453
52 days,521,7,453
53 days,506,7,407
54 days,502,8,333
55 days,502,9,321
56 days,518,9,344
57 days,737,10,418
58 days,881,9,436
59 days,1183,10,505
60 days,1213,11,487
61 days,1212,12,466
62 days,1194,9,379
63 days,1128,7,383
64 days,1313,5,416
65 days,1319,6,483
66 days,1390,8,493
67 days,1428,9,483
68 days,1364,10,482
69 days,1501,10,486
70 days,1838,11,584
