Dates,Infected,Dead,Recovered
0 days,95.0,1.0,2.0
1 days,277.0,8.0,6.0
2 days,486.0,16.0,3.0
3 days,669.0,14.0,10.0
4 days,802.0,26.0,9.0
5 days,2632.0,49.0,43.0
6 days,578.0,2.0,19.0
7 days,2054.0,38.0,15.0
8 days,1661.0,42.0,79.0
9 days,2089.0,46.0,61.0
10 days,4739.0,102.0,188.0
11 days,3086.0,64.0,151.0
12 days,3991.0,66.0,229.0
13 days,3733.0,72.0,272.0
14 days,3147.0,70.0,362.0
15 days,3523.0,85.0,522.0
16 days,2704.0,87.0,597.0
17 days,3015.0,100.0,623.0
18 days,2525.0,107.0,699.0
19 days,2032.0,100.0,718.0
20 days,373.0,5.0,446.0
21 days,15136.0,252.0,1135.0
22 days,6463.0,152.0,1760.0
23 days,2055.0,142.0,1321.0
24 days,2100.0,103.0,1457.0
25 days,1921.0,98.0,1707.0
26 days,1777.0,139.0,1744.0
27 days,408.0,113.0,1756.0
28 days,458.0,122.0,2052.0
29 days,473.0,0.0,690.0
30 days,1451.0,205.0,3995.0
31 days,21.0,2.0,488.0
32 days,219.0,150.0,1828.0
33 days,513.0,70.0,2661.0
34 days,412.0,52.0,2408.0
35 days,434.0,29.0,2846.0
36 days,328.0,44.0,3399.0
37 days,428.0,47.0,2991.0
38 days,576.0,35.0,2842.0
39 days,204.0,42.0,2692.0
40 days,125.0,33.0,2596.0
41 days,125.0,36.0,2551.0
42 days,151.0,32.0,2291.0
43 days,153.0,29.0,1652.0
44 days,80.0,28.0,1595.0
45 days,53.0,28.0,1849.0
46 days,37.0,23.0,1416.0
47 days,27.0,16.0,1377.0
48 days,34.0,22.0,1463.0
49 days,11.0,11.0,1257.0
50 days,13.0,8.0,1295.0
51 days,32.0,13.0,1464.0
52 days,26.0,10.0,1357.0
53 days,30.0,14.0,893.0
54 days,25.0,13.0,888.0
55 days,44.0,11.0,957.0
56 days,54.0,8.0,780.0
57 days,94.0,4.0,731.0
58 days,55.0,6.0,591.0
59 days,130.0,15.0,505.0
60 days,63.0,0.0,452.0
61 days,93.0,7.0,466.0
62 days,70.0,4.0,493.0
63 days,121.0,6.0,408.0
64 days,115.0,5.0,539.0
65 days,102.0,3.0,380.0
66 days,123.0,5.0,482.0
67 days,76.0,4.0,341.0
68 days,81.0,1.0,283.0
69 days,82.0,7.0,199.0
70 days,71.0,6.0,160.0
71 days,79.0,4.0,195.0
72 days,32.0,4.0,186.0
73 days,59.0,3.0,261.0
74 days,63.0,2.0,103.0
75 days,53.0,0.0,100.0
76 days,91.0,2.0,142.0
77 days,74.0,2.0,0.0
78 days,58.0,1.0,0.0
79 days,73.0,3.0,0.0
80 days,120.0,0.0,0.0
81 days,79.0,2.0,0.0
82 days,93.0,0.0,0.0
83 days,50.0,1.0,0.0
84 days,47.0,0.0,0.0
85 days,357.0,1290.0,0.0
86 days,27.0,0.0,62.0
87 days,18.0,0.0,76.0
88 days,12.0,0.0,55.0
89 days,36.0,0.0,54.0
90 days,15.0,0.0,62.0
