Dates,Infected,Dead,Recovered
1 days,286,8,4
2 days,477,13,6
3 days,652,19,7
4 days,1368,30,21
5 days,1337,26,24
6 days,1755,30,26
7 days,1431,27,38
8 days,1935,42,52
9 days,2830,63,109
10 days,3305,71,133
11 days,3939,77,189
12 days,3603,67,217
13 days,3624,69,288
14 days,3468,76,385
15 days,3125,81,494
16 days,3081,91,581
17 days,2748,98,640
18 days,2524,102,680
19 days,1643,71,621
20 days,5847,119,766
21 days,7324,136,1114
22 days,7885,182,1405
23 days,3539,132,1513
24 days,2025,114,1495
25 days,1933,113,1636
26 days,1369,117,1736
27 days,881,125,1851
28 days,446,78,1499
29 days,794,109,2246
30 days,648,69,1724
31 days,564,119,2104
32 days,251,74,1659
33 days,381,91,2299
34 days,453,50,2638
35 days,391,42,2884
36 days,397,40,3079
37 days,444,42,3077
38 days,403,41,2842
39 days,302,37,2710
40 days,151,37,2613
41 days,134,34,2479
42 days,143,32,2165
43 days,128,30,1846
44 days,95,28,1699
45 days,57,26,1620
46 days,39,22,1547
47 days,33,20,1419
48 days,24,16,1366
49 days,19,14,1338
50 days,19,11,1339
51 days,24,10,1372
52 days,29,12,1238
53 days,27,12,1046
54 days,33,13,913
55 days,41,11,875
56 days,64,8,823
57 days,68,6,701
58 days,93,8,609
59 days,83,7,516
60 days,95,7,474
61 days,75,4,470
62 days,95,6,456
63 days,102,5,480
64 days,113,5,442
65 days,113,4,467
66 days,100,4,401
67 days,93,3,369
68 days,80,4,274
69 days,78,5,214
70 days,77,6,185
71 days,61,5,180
72 days,57,4,214
73 days,51,3,183
74 days,58,2,155
75 days,69,1,115
76 days,73,1,81
77 days,74,2,47
78 days,68,2,0
79 days,84,1,0
80 days,91,2,0
81 days,97,1,0
82 days,74,1,0
83 days,63,0,0
84 days,151,430,0
85 days,144,430,21
86 days,134,430,46
87 days,19,0,64
88 days,22,0,62
89 days,21,0,57
90 days,22,0,79
91 days,15,0,103
92 days,14,0,105
93 days,9,0,98
94 days,6,0,88
95 days,10,0,82
96 days,11,0,66
97 days,13,0,50
98 days,6,0,50
99 days,5,0,37
100 days,3,0,54
101 days,2,0,73
102 days,3,0,95
103 days,2,0,82
104 days,3,0,62
105 days,3,0,41
106 days,7,0,66
107 days,12,0,63
108 days,12,0,68
109 days,9,0,32
110 days,5,0,26
