Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,2.0,0.0,0.0
5 days,6.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,4.0,0.0,0.0
8 days,9.0,0.0,0.0
9 days,12.0,0.0,0.0
10 days,20.0,0.0,0.0
11 days,11.0,0.0,1.0
12 days,28.0,0.0,0.0
13 days,9.0,0.0,0.0
14 days,26.0,0.0,0.0
15 days,68.0,0.0,0.0
16 days,35.0,2.0,2.0
17 days,46.0,1.0,0.0
18 days,101.0,0.0,3.0
19 days,92.0,1.0,2.0
20 days,21.0,2.0,0.0
21 days,48.0,0.0,2.0
22 days,69.0,0.0,0.0
23 days,94.0,4.0,0.0
24 days,96.0,2.0,5.0
25 days,108.0,4.0,16.0
26 days,159.0,1.0,8.0
27 days,96.0,2.0,16.0
28 days,106.0,6.0,0.0
29 days,139.0,7.0,30.0
30 days,79.0,3.0,3.0
31 days,94.0,11.0,0.0
32 days,201.0,4.0,12.0
33 days,274.0,4.0,23.0
34 days,169.0,15.0,51.0
35 days,250.0,11.0,23.0
36 days,236.0,20.0,17.0
37 days,67.0,9.0,56.0
38 days,76.0,3.0,49.0
39 days,127.0,15.0,35.0
40 days,126.0,4.0,98.0
41 days,128.0,13.0,98.0
42 days,206.0,9.0,84.0
43 days,0.0,0.0,0.0
44 days,353.0,26.0,77.0
45 days,185.0,10.0,93.0
46 days,172.0,7.0,0.0
47 days,207.0,10.0,66.0
48 days,205.0,9.0,57.0
49 days,320.0,10.0,76.0
50 days,261.0,8.0,64.0
51 days,237.0,11.0,66.0
52 days,218.0,9.0,77.0
53 days,352.0,16.0,58.0
54 days,258.0,9.0,143.0
55 days,300.0,15.0,28.0
56 days,499.0,21.0,112.0
57 days,279.0,10.0,115.0
58 days,383.0,16.0,56.0
59 days,305.0,18.0,85.0
60 days,640.0,20.0,206.0
61 days,346.0,19.0,135.0
62 days,497.0,10.0,152.0
63 days,595.0,21.0,124.0
64 days,444.0,17.0,145.0
65 days,568.0,18.0,136.0
66 days,550.0,16.0,120.0
67 days,659.0,14.0,146.0
68 days,658.0,16.0,162.0
