Dates,Infected,Dead,Recovered
2 days,0,0,0
3 days,0,0,0
4 days,1,0,0
5 days,3,0,0
6 days,3,0,0
7 days,3,0,0
8 days,4,0,0
9 days,8,0,0
10 days,14,0,0
11 days,14,0,0
12 days,20,0,0
13 days,16,0,0
14 days,21,0,0
15 days,34,0,0
16 days,43,1,1
17 days,50,1,1
18 days,61,1,2
19 days,80,1,2
20 days,71,1,2
21 days,54,1,1
22 days,46,1,1
23 days,70,1,1
24 days,86,2,2
25 days,99,3,7
26 days,121,2,10
27 days,121,2,13
28 days,120,3,8
29 days,114,5,15
30 days,108,5,11
31 days,104,7,11
32 days,125,6,5
33 days,190,6,12
34 days,215,8,29
35 days,231,10,32
36 days,218,15,30
37 days,184,13,32
38 days,126,11,41
39 days,90,9,47
40 days,110,7,61
41 days,127,11,77
42 days,153,9,93
43 days,111,7,61
44 days,186,12,54
45 days,179,12,57
46 days,237,14,57
47 days,188,9,53
48 days,195,9,41
49 days,244,10,66
50 days,262,9,66
51 days,273,10,69
52 days,239,9,69
53 days,269,12,67
54 days,276,11,93
55 days,303,13,76
56 days,352,15,94
57 days,359,15,85
58 days,387,16,94
59 days,322,15,85
60 days,443,18,116
