Dates,Infected,Dead,Recovered
2 days,0,0,0
3 days,0,0,0
4 days,1,0,0
5 days,1,0,0
6 days,1,0,0
7 days,0,0,0
8 days,0,0,0
9 days,0,0,0
10 days,0,0,0
11 days,0,0,0
12 days,0,0,0
13 days,0,0,0
14 days,5,0,0
15 days,5,0,0
16 days,5,0,0
17 days,0,0,0
18 days,1,1,1
19 days,1,1,1
20 days,1,1,1
21 days,8,1,0
22 days,8,1,0
23 days,8,1,0
24 days,0,0,0
25 days,5,0,1
26 days,5,0,1
27 days,5,0,1
28 days,0,0,0
29 days,0,0,0
30 days,0,0,0
31 days,19,0,2
32 days,19,0,2
33 days,28,0,2
34 days,9,0,0
35 days,9,0,0
36 days,6,0,2
37 days,7,0,2
38 days,14,0,2
