Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,1.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,1.0,0.0,0.0
7 days,1.0,0.0,0.0
8 days,10.0,0.0,0.0
9 days,4.0,0.0,0.0
10 days,5.0,1.0,0.0
11 days,7.0,0.0,0.0
12 days,6.0,0.0,0.0
13 days,9.0,1.0,0.0
14 days,3.0,0.0,0.0
15 days,3.0,1.0,0.0
16 days,0.0,0.0,2.0
17 days,14.0,3.0,0.0
18 days,0.0,0.0,0.0
19 days,16.0,2.0,0.0
20 days,17.0,0.0,0.0
21 days,11.0,1.0,1.0
22 days,25.0,4.0,0.0
23 days,0.0,0.0,0.0
24 days,20.0,5.0,0.0
25 days,0.0,0.0,0.0
26 days,7.0,0.0,2.0
27 days,19.0,0.0,4.0
28 days,0.0,0.0,0.0
29 days,0.0,0.0,0.0
30 days,35.0,2.0,4.0
31 days,8.0,0.0,3.0
32 days,11.0,0.0,0.0
33 days,1.0,0.0,1.0
34 days,6.0,0.0,3.0
35 days,13.0,1.0,1.0
36 days,13.0,1.0,2.0
37 days,20.0,1.0,2.0
38 days,20.0,2.0,1.0
39 days,20.0,0.0,0.0
40 days,5.0,0.0,1.0
41 days,18.0,0.0,8.0
42 days,9.0,0.0,10.0
43 days,18.0,0.0,2.0
44 days,17.0,0.0,1.0
45 days,22.0,3.0,1.0
46 days,26.0,0.0,1.0
47 days,17.0,0.0,0.0
48 days,12.0,2.0,6.0
49 days,20.0,0.0,3.0
50 days,81.0,1.0,14.0
51 days,32.0,1.0,2.0
52 days,70.0,1.0,0.0
53 days,0.0,0.0,0.0
54 days,8.0,1.0,5.0
55 days,23.0,0.0,10.0
56 days,92.0,1.0,2.0
57 days,66.0,1.0,11.0
58 days,74.0,3.0,27.0
59 days,0.0,0.0,0.0
60 days,54.0,2.0,6.0
61 days,33.0,0.0,5.0
62 days,78.0,3.0,5.0
63 days,67.0,6.0,2.0
