Dates,Infected,Dead,Recovered
1 days,1,0,0
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,1,0,0
7 days,4,0,0
8 days,5,0,0
9 days,6,0,0
10 days,5,0,0
11 days,6,0,0
12 days,7,0,0
13 days,6,0,0
14 days,5,1,0
15 days,2,0,1
16 days,6,1,1
17 days,5,1,1
18 days,10,2,0
19 days,11,1,0
20 days,15,1,0
21 days,18,2,0
22 days,12,2,0
23 days,15,3,0
24 days,7,2,0
25 days,9,2,1
26 days,9,0,2
27 days,9,0,2
28 days,6,0,1
29 days,12,1,1
30 days,14,1,2
31 days,18,1,2
32 days,7,0,1
33 days,6,0,1
34 days,7,0,2
35 days,11,1,2
36 days,15,1,2
37 days,18,1,2
38 days,20,1,1
39 days,15,1,1
40 days,14,0,3
41 days,11,0,6
42 days,15,0,7
43 days,15,0,4
44 days,19,1,1
45 days,22,1,1
46 days,22,1,1
47 days,18,1,2
48 days,16,1,3
49 days,38,1,8
50 days,44,1,6
51 days,61,1,5
52 days,34,1,1
53 days,26,1,2
54 days,10,0,5
55 days,41,1,6
56 days,60,1,8
57 days,77,2,13
58 days,47,1,13
59 days,43,2,11
60 days,29,1,4
61 days,55,2,5
62 days,59,3,4
