Dates,Infected,Dead,Recovered
1 days,2,0,0
2 days,3,0,0
3 days,3,0,0
4 days,3,0,0
5 days,4,0,0
6 days,5,0,0
7 days,4,0,0
8 days,2,0,0
9 days,4,0,0
10 days,5,0,0
11 days,8,0,0
12 days,11,0,0
13 days,16,0,0
14 days,22,1,1
15 days,22,0,1
16 days,23,0,1
17 days,20,0,0
18 days,22,0,0
19 days,24,0,0
20 days,29,0,0
21 days,31,0,0
22 days,28,0,0
23 days,22,0,0
24 days,17,0,0
25 days,20,0,0
26 days,22,0,1
27 days,23,0,2
28 days,20,0,3
29 days,19,0,3
30 days,17,0,2
31 days,16,0,4
32 days,16,0,4
33 days,24,0,4
34 days,25,0,6
35 days,25,0,7
36 days,19,0,9
37 days,18,0,7
38 days,14,0,6
39 days,10,0,4
40 days,10,0,4
41 days,10,0,7
42 days,10,0,10
43 days,6,0,13
44 days,4,1,12
45 days,5,1,18
46 days,7,0,23
47 days,8,0,24
48 days,6,0,22
49 days,4,0,21
50 days,3,0,23
51 days,3,0,24
52 days,4,0,21
53 days,6,0,20
54 days,7,0,17
55 days,7,0,16
56 days,7,0,16
57 days,7,0,16
58 days,6,0,15
59 days,7,0,14
60 days,7,0,14
61 days,8,0,15
62 days,6,0,16
63 days,6,0,17
64 days,9,0,19
65 days,9,0,19
66 days,8,0,13
67 days,8,0,9
