Dates,Infected,Dead,Recovered
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,1,0,0
7 days,2,0,0
8 days,3,0,0
9 days,1,0,0
10 days,3,0,0
11 days,2,0,0
12 days,5,0,0
13 days,20,0,0
14 days,22,0,1
15 days,24,0,1
16 days,9,0,0
17 days,7,0,0
18 days,23,0,0
19 days,22,0,1
20 days,26,0,1
21 days,8,0,2
22 days,9,0,3
23 days,13,0,4
24 days,18,0,5
25 days,22,1,7
26 days,35,1,7
27 days,35,1,5
28 days,41,0,4
29 days,40,0,4
30 days,32,0,4
31 days,50,0,3
32 days,43,1,11
33 days,61,1,12
34 days,35,1,19
35 days,21,0,10
36 days,9,0,19
37 days,17,0,26
38 days,54,1,42
39 days,64,1,38
40 days,53,1,22
41 days,38,2,21
42 days,35,2,17
43 days,52,2,33
44 days,54,0,39
45 days,42,0,36
46 days,49,0,36
47 days,29,0,27
48 days,35,0,35
49 days,29,0,30
50 days,37,0,25
51 days,50,0,24
52 days,41,0,22
53 days,41,1,26
54 days,33,1,32
55 days,34,1,26
