Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,2.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,2.0,0.0,0.0
4 days,1.0,0.0,0.0
5 days,1.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,2.0,0.0,0.0
8 days,1.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,1.0,0.0,0.0
11 days,1.0,0.0,0.0
12 days,0.0,0.0,0.0
13 days,0.0,0.0,0.0
14 days,2.0,0.0,0.0
15 days,5.0,0.0,0.0
16 days,0.0,0.0,0.0
17 days,13.0,0.0,1.0
18 days,6.0,0.0,0.0
19 days,11.0,0.0,0.0
20 days,8.0,0.0,1.0
21 days,8.0,0.0,2.0
22 days,16.0,0.0,0.0
23 days,24.0,1.0,1.0
24 days,23.0,0.0,0.0
25 days,78.0,0.0,0.0
26 days,48.0,0.0,0.0
27 days,61.0,0.0,0.0
28 days,67.0,0.0,0.0
29 days,60.0,0.0,17.0
30 days,53.0,2.0,0.0
31 days,91.0,0.0,15.0
32 days,71.0,2.0,8.0
33 days,56.0,1.0,7.0
34 days,77.0,0.0,15.0
35 days,77.0,0.0,0.0
36 days,96.0,0.0,6.0
37 days,48.0,1.0,15.0
38 days,68.0,1.0,4.0
39 days,47.0,4.0,27.0
40 days,56.0,3.0,6.0
41 days,40.0,1.0,5.0
42 days,60.0,2.0,37.0
43 days,61.0,1.0,12.0
44 days,64.0,1.0,40.0
45 days,88.0,1.0,12.0
46 days,39.0,0.0,92.0
47 days,66.0,2.0,50.0
48 days,50.0,2.0,27.0
49 days,54.0,6.0,15.0
50 days,37.0,2.0,58.0
51 days,50.0,2.0,56.0
52 days,23.0,1.0,71.0
53 days,18.0,3.0,15.0
54 days,39.0,8.0,94.0
55 days,10.0,0.0,62.0
56 days,27.0,1.0,30.0
57 days,42.0,0.0,68.0
