Dates,Infected,Dead,Recovered
0 days,3.0,0.0,0.0
1 days,1.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,1.0,0.0,0.0
6 days,2.0,1.0,0.0
7 days,4.0,0.0,0.0
8 days,5.0,0.0,0.0
9 days,5.0,0.0,0.0
10 days,14.0,0.0,0.0
11 days,5.0,0.0,0.0
12 days,8.0,0.0,1.0
13 days,9.0,0.0,0.0
14 days,10.0,1.0,0.0
15 days,13.0,0.0,3.0
16 days,39.0,1.0,0.0
17 days,20.0,0.0,0.0
18 days,31.0,1.0,0.0
19 days,16.0,2.0,4.0
20 days,26.0,0.0,4.0
21 days,21.0,0.0,1.0
22 days,36.0,0.0,2.0
23 days,19.0,0.0,0.0
24 days,32.0,2.0,0.0
25 days,30.0,1.0,3.0
26 days,46.0,2.0,9.0
27 days,61.0,1.0,0.0
28 days,58.0,3.0,1.0
29 days,49.0,0.0,23.0
30 days,56.0,1.0,26.0
31 days,49.0,2.0,15.0
32 days,57.0,3.0,29.0
33 days,40.0,0.0,11.0
34 days,48.0,3.0,19.0
35 days,48.0,3.0,20.0
36 days,61.0,4.0,21.0
37 days,63.0,1.0,35.0
38 days,49.0,2.0,28.0
39 days,52.0,2.0,30.0
40 days,50.0,2.0,24.0
41 days,52.0,2.0,32.0
